Date,Adj Close_SHALPAINTS.NS,Close_SHALPAINTS.NS,High_SHALPAINTS.NS,Low_SHALPAINTS.NS,Open_SHALPAINTS.NS,Volume_SHALPAINTS.NS,Date
2020-07-13,58.25,58.25,59.400001525878906,56.5,59.0,136493,2020-07-13
2020-07-20,59.04999923706055,59.04999923706055,60.900001525878906,56.70000076293945,58.5,271135,2020-07-20
2020-07-27,57.349998474121094,57.349998474121094,63.5,56.5,61.0,685179,2020-07-27
2020-08-03,61.0,61.0,63.5,57.150001525878906,58.0,440198,2020-08-03
2020-08-10,63.400001525878906,63.400001525878906,69.30000305175781,60.099998474121094,61.650001525878906,1249961,2020-08-10
2020-08-17,75.44999694824219,75.44999694824219,79.30000305175781,63.400001525878906,63.79999923706055,4993922,2020-08-17
2020-08-24,74.05000305175781,74.05000305175781,79.0,71.5,76.44999694824219,706322,2020-08-24
2020-08-31,68.9000015258789,68.9000015258789,74.94999694824219,65.5,74.94999694824219,450090,2020-08-31
2020-09-07,68.05000305175781,68.05000305175781,71.9000015258789,66.05000305175781,69.69999694824219,390482,2020-09-07
2020-09-14,70.0999984741211,70.0999984741211,75.05000305175781,67.9000015258789,68.1500015258789,703658,2020-09-14
2020-09-21,63.95000076293945,63.95000076293945,71.0,61.5,70.0999984741211,296615,2020-09-21
2020-09-28,69.4000015258789,69.4000015258789,71.5,64.5999984741211,65.5999984741211,279371,2020-09-28
2020-10-05,67.4000015258789,67.4000015258789,74.05000305175781,67.0999984741211,70.9000015258789,316932,2020-10-05
2020-10-12,65.05000305175781,65.05000305175781,68.8499984741211,64.55000305175781,68.75,127241,2020-10-12
2020-10-19,68.75,68.75,71.94999694824219,64.1500015258789,66.05000305175781,345477,2020-10-19
2020-10-26,70.30000305175781,70.30000305175781,76.30000305175781,67.05000305175781,69.94999694824219,1992126,2020-10-26
2020-11-02,70.0,70.0,71.3499984741211,67.9000015258789,70.30000305175781,329243,2020-11-02
2020-11-09,69.0,69.0,71.8499984741211,67.5999984741211,70.25,511177,2020-11-09
2020-11-16,67.9000015258789,67.9000015258789,69.9000015258789,66.75,68.75,393638,2020-11-16
2020-11-23,70.69999694824219,70.69999694824219,72.69999694824219,66.80000305175781,68.8499984741211,842633,2020-11-23
2020-11-30,71.6500015258789,71.6500015258789,74.5999984741211,70.69999694824219,70.69999694824219,980000,2020-11-30
2020-12-07,83.4000015258789,83.4000015258789,86.0,70.75,72.69999694824219,5025117,2020-12-07
2020-12-14,87.6500015258789,87.6500015258789,95.4000015258789,82.75,86.4000015258789,4697222,2020-12-14
2020-12-21,91.94999694824219,91.94999694824219,94.5,73.5,88.0,3284589,2020-12-21
2020-12-28,89.8499984741211,89.8499984741211,96.0,88.19999694824219,96.0,807619,2020-12-28
2021-01-04,99.25,99.25,104.30000305175781,88.8499984741211,92.9000015258789,3192862,2021-01-04
2021-01-11,100.4000015258789,100.4000015258789,109.5,94.75,100.0,3631937,2021-01-11
2021-01-18,104.30000305175781,104.30000305175781,117.0,98.0,101.30000305175781,4724551,2021-01-18
2021-01-25,102.25,102.25,108.30000305175781,93.0,104.5999984741211,838969,2021-01-25
2021-02-01,106.1500015258789,106.1500015258789,113.5,98.0999984741211,103.80000305175781,1896503,2021-02-01
2021-02-08,98.05000305175781,98.05000305175781,109.75,97.44999694824219,106.5999984741211,1290492,2021-02-08
2021-02-15,94.0,94.0,99.5,90.19999694824219,98.0999984741211,671620,2021-02-15
2021-02-22,94.9000015258789,94.9000015258789,99.0,91.0,94.8499984741211,446164,2021-02-22
2021-03-01,92.4000015258789,92.4000015258789,95.80000305175781,92.05000305175781,94.5,708501,2021-03-01
2021-03-08,91.0999984741211,91.0999984741211,95.5,90.30000305175781,93.44999694824219,234874,2021-03-08
2021-03-15,88.8499984741211,88.8499984741211,93.80000305175781,85.30000305175781,91.5999984741211,521010,2021-03-15
2021-03-22,92.75,92.75,94.5999984741211,88.44999694824219,90.0999984741211,807897,2021-03-22
2021-03-29,97.19999694824219,97.19999694824219,99.5,92.55000305175781,92.75,684559,2021-03-29
2021-04-05,94.4000015258789,94.4000015258789,97.69999694824219,92.30000305175781,96.94999694824219,412596,2021-04-05
2021-04-12,88.75,88.75,94.0,87.30000305175781,93.0,241591,2021-04-12
