Date,Adj Close_SHREECEM.NS,Close_SHREECEM.NS,High_SHREECEM.NS,Low_SHREECEM.NS,Open_SHREECEM.NS,Volume_SHREECEM.NS,Date
2020-07-13,21922.9296875,22269.94921875,22400.0,21250.0,22101.0,128636,2020-07-13
2020-07-20,21000.333984375,21332.75,22810.0,21160.0,22325.05078125,284465,2020-07-20
2020-07-27,21372.8359375,21711.150390625,22200.0,21015.94921875,21449.94921875,326370,2020-07-27
2020-08-03,21568.685546875,21910.099609375,22165.0,21325.900390625,21670.05078125,264276,2020-08-03
2020-08-10,21123.880859375,21458.25,22550.0,21103.30078125,22200.0,532236,2020-08-10
2020-08-17,21969.984375,22317.75,22467.80078125,21401.0,21600.0,231025,2020-08-17
2020-08-24,20997.181640625,21329.55078125,22543.0,21251.5,22317.75,234560,2020-08-24
2020-08-31,19713.2578125,20025.30078125,21550.0,19950.0,21478.900390625,353880,2020-08-31
2020-09-07,19198.6015625,19502.5,20199.0,19068.05078125,20100.0,315129,2020-09-07
2020-09-14,19216.767578125,19520.94921875,20492.55078125,19399.5,19512.30078125,331465,2020-09-14
2020-09-21,18712.251953125,19008.44921875,19600.0,18183.55078125,19520.94921875,273597,2020-09-21
2020-09-28,20289.83203125,20611.0,20659.94921875,19080.0,19200.0,324108,2020-09-28
2020-10-05,20868.17578125,21198.5,21250.0,20000.0,20600.0,354546,2020-10-05
2020-10-12,20847.453125,21177.44921875,21700.0,20505.19921875,21165.0,381405,2020-10-12
2020-10-19,20201.380859375,20521.150390625,21550.0,20257.05078125,21200.0,306094,2020-10-19
2020-10-26,21356.494140625,21694.55078125,22100.0,20113.099609375,20665.69921875,543289,2020-10-26
2020-11-02,21709.41015625,22053.05078125,22378.900390625,21512.099609375,21694.55078125,298559,2020-11-02
2020-11-09,22999.193359375,23363.25,23645.19921875,22059.80078125,22280.0,522593,2020-11-09
2020-11-16,23575.51953125,23948.69921875,24287.0,23400.0,23435.5,262228,2020-11-16
2020-11-23,23927.59765625,24306.349609375,24695.94921875,23351.0,24000.0,480892,2020-11-23
2020-11-30,24524.650390625,24912.849609375,25655.5,24200.0,24306.349609375,293227,2020-11-30
2020-12-07,23434.0625,23805.0,25289.94921875,23585.05078125,25000.0,305070,2020-12-07
2020-12-14,24191.470703125,24574.400390625,24899.0,23652.0,23810.0,346408,2020-12-14
2020-12-21,23455.46875,23826.75,24550.0,23249.150390625,24550.0,182037,2020-12-21
2020-12-28,23577.095703125,23950.30078125,24701.599609375,23571.05078125,24000.0,284491,2020-12-28
2021-01-04,25411.1640625,25813.400390625,25979.5,23701.05078125,24140.0,310711,2021-01-04
2021-01-11,24033.375,24413.80078125,25950.0,24212.849609375,25800.0,247143,2021-01-11
2021-01-18,23325.0859375,23694.30078125,24474.849609375,23602.0,24400.0,232699,2021-01-18
2021-01-25,22418.484375,22773.349609375,24050.0,22531.0,24050.0,217845,2021-01-25
2021-02-01,26306.443359375,26722.849609375,27329.25,22711.94921875,23100.0,610219,2021-02-01
