Date,Adj Close_SKIPPER.NS,Close_SKIPPER.NS,High_SKIPPER.NS,Low_SKIPPER.NS,Open_SKIPPER.NS,Volume_SKIPPER.NS,Date
2020-07-13,35.75433349609375,35.95220947265625,37.368804931640625,33.26556396484375,37.12456512451172,370755,2020-07-13
2020-07-20,34.29695510864258,34.48676681518555,36.83147430419922,34.29137420654297,36.58723449707031,329339,2020-07-20
2020-07-27,34.24837112426758,34.43791961669922,35.561424255371094,32.825931549072266,34.48676681518555,827368,2020-07-27
2020-08-03,38.28044509887695,38.4923095703125,39.078487396240234,34.43791961669922,34.43791961669922,648471,2020-08-03
2020-08-10,38.620506286621094,38.83424758911133,43.62136459350586,36.44069290161133,38.541160583496094,1788631,2020-08-10
2020-08-17,44.887229919433594,45.13565444946289,47.382667541503906,38.98079299926758,38.98079299926758,1194358,2020-08-17
2020-08-24,47.02471923828125,47.28497314453125,49.09235382080078,44.696022033691406,46.01491928100586,733728,2020-08-24
2020-08-31,41.77815628051758,42.009376525878906,46.894187927246094,41.032413482666016,46.698795318603516,368272,2020-08-31
2020-09-07,40.56367492675781,40.78817367553711,44.4517822265625,39.078487396240234,42.009376525878906,195747,2020-09-07
2020-09-14,51.056793212890625,51.33936309814453,55.63800048828125,40.885868072509766,42.9374885559082,1384852,2020-09-14
2020-09-21,46.18507766723633,46.35685729980469,51.33936309814453,44.10984420776367,51.33936309814453,760912,2020-09-21
2020-09-28,46.33108139038086,46.50340270996094,48.3596305847168,45.33104705810547,45.33104705810547,201983,2020-09-28
2020-10-05,50.127113342285156,50.31355667114258,52.902503967285156,46.552249908447266,47.382667541503906,747215,2020-10-05
2020-10-12,49.00777053833008,49.19004821777344,52.8048095703125,47.48036575317383,49.77622604370117,193752,2020-10-12
2020-10-19,50.321781158447266,50.50894546508789,55.491455078125,49.8250732421875,50.557796478271484,1344917,2020-10-19
2020-10-26,46.477081298828125,46.64994430541992,51.53475570678711,46.16146469116211,51.53475570678711,190542,2020-10-26
2020-11-02,46.76908493041992,46.94303512573242,49.04350280761719,44.549476623535156,45.9172248840332,155397,2020-11-02
2020-11-09,49.54310989379883,49.727378845214844,50.411251068115234,46.01491928100586,47.87114715576172,354964,2020-11-09
2020-11-16,52.02512741088867,52.218631744384766,56.17532730102539,47.77345275878906,47.96884536743164,1324149,2020-11-16
2020-11-23,53.87447738647461,54.074859619140625,57.54307556152344,50.70433807373047,52.218631744384766,1053616,2020-11-23
2020-11-30,54.75048828125,54.954124450683594,56.4195671081543,52.65826416015625,54.074859619140625,391749,2020-11-30
2020-12-07,58.20585250854492,58.422340393066406,63.307151794433594,54.2702522277832,54.2702522277832,1026536,2020-12-07
2020-12-14,61.028541564941406,61.255531311035156,64.18641662597656,58.37349319458008,59.54584884643555,635432,2020-12-14
2020-12-21,60.15253448486328,60.37626647949219,61.597469329833984,51.43706130981445,61.06013870239258,433794,2020-12-21
2020-12-28,65.50591278076172,65.74955749511719,71.31824493408203,59.25275802612305,61.54861831665039,953058,2020-12-28
2021-01-04,68.86394500732422,69.12007904052734,72.2463607788086,62.03710174560547,67.36154174804688,1038461,2021-01-04
2021-01-11,65.74925231933594,65.9937973022461,71.31824493408203,63.06291198730469,70.19473266601562,587323,2021-01-11
2021-01-18,62.29388427734375,62.52558135986328,71.26939392089844,61.744014739990234,67.21500396728516,904684,2021-01-18
2021-01-25,58.449188232421875,58.66658020019531,63.50254440307617,57.34768295288086,62.52558135986328,195653,2021-01-25
2021-02-01,63.364566802978516,63.600242614746094,65.65186309814453,57.15229034423828,58.86197280883789,256528,2021-02-01
2021-02-08,61.9045524597168,62.134796142578125,65.40762329101562,60.81589889526367,63.99102783203125,210011,2021-02-08
2021-02-15,61.758548736572266,61.98825454711914,63.942176818847656,60.13202667236328,63.307151794433594,201473,2021-02-15
2021-02-22,60.5418701171875,60.767051696777344,63.50254440307617,59.10621643066406,63.50254440307617,206218,2021-02-22
2021-03-01,60.687870025634766,60.91359329223633,63.111759185791016,60.08317565917969,62.47673416137695,286143,2021-03-01
2021-03-08,57.913848876953125,58.12925338745117,62.3301887512207,57.640769958496094,61.06013870239258,266863,2021-03-08
2021-03-15,62.34255599975586,62.574432373046875,70.43898010253906,56.66381072998047,57.640769958496094,1625472,2021-03-15
2021-03-22,59.51986312866211,59.741241455078125,64.77259826660156,58.32464599609375,61.597469329833984,441006,2021-03-22
2021-03-29,59.6171989440918,59.83893585205078,61.450923919677734,57.885013580322266,59.741241455078125,116276,2021-03-29
2021-04-05,59.42252731323242,59.6435432434082,61.744014739990234,57.640769958496094,59.20391082763672,193699,2021-04-05
2021-04-12,54.99382019042969,55.1983642578125,58.617733001708984,48.3596305847168,58.617733001708984,207086,2021-04-12
2021-04-19,53.679813385009766,53.87946701049805,56.32187271118164,50.215858459472656,53.928314208984375,228195,2021-04-19
2021-04-26,58.059852600097656,58.27579879760742,61.84170913696289,50.99742889404297,54.70988464355469,1521393,2021-04-26
2021-05-03,54.36115264892578,54.56333923339844,61.304378509521484,52.46287155151367,58.12925338745117,1980826,2021-05-03
2021-05-10,55.86983108520508,56.077632904052734,57.640769958496094,54.074859619140625,55.68684768676758,739523,2021-05-10
2021-05-17,57.962520599365234,58.1781005859375,63.40484619140625,55.589149475097656,56.028785705566406,1155286,2021-05-17
2021-05-24,59.76320266723633,59.98548126220703,62.574432373046875,57.933860778808594,58.617733001708984,1526846,2021-05-24
2021-05-31,60.78520965576172,61.01129150390625,65.74955749511719,55.589149475097656,60.473960876464844,1283706,2021-05-31
2021-06-07,80.54405212402344,80.84362030029297,82.89524841308594,59.98548126220703,61.597469329833984,11864941,2021-06-07
2021-06-14,77.52669525146484,77.8150405883789,85.48419189453125,76.30075073242188,81.77173614501953,4737508,2021-06-14
2021-06-21,86.96810913085938,87.29157257080078,89.39204406738281,76.20305633544922,76.20305633544922,4989043,2021-06-21
2021-06-28,87.64945220947266,87.97544860839844,94.27685546875,85.04456329345703,89.68513488769531,6827177,2021-06-28
2021-07-05,86.87076568603516,87.19387817382812,92.81140899658203,82.26022338867188,88.903564453125,5135367,2021-07-05
2021-07-12,85.45941925048828,85.77728271484375,89.68513488769531,84.16529846191406,87.58466339111328,3966693,2021-07-12
2021-07-19,90.7641372680664,91.10173034667969,96.08423614501953,84.99571228027344,84.99571228027344,7885853,2021-07-19
2021-07-26,86.72476959228516,87.04733276367188,94.0326156616211,85.58189392089844,91.10173034667969,4270866,2021-07-26
2021-08-02,83.1234130859375,83.43257141113281,89.58743286132812,81.57634735107422,87.87775421142578,2886967,2021-08-02
2021-08-09,80.59271240234375,80.89247131347656,90.12476348876953,75.56803131103516,84.50723266601562,3105630,2021-08-09
2021-08-16,77.33201599121094,77.6196517944336,81.77173614501953,74.44451904296875,80.94132232666016,1417488,2021-08-16
2021-08-23,77.42935180664062,77.71734619140625,82.74870300292969,75.86111450195312,79.03624725341797,1039114,2021-08-23
2021-08-30,76.84534454345703,77.13116455078125,83.04178619384766,76.30075073242188,78.20582580566406,768390,2021-08-30
2021-09-06,83.7560806274414,84.06759643554688,84.99571228027344,76.93577575683594,77.96158599853516,1363195,2021-09-06
2021-09-13,80.78739166259766,81.0878677368164,87.09618377685547,79.08509063720703,84.99571228027344,2022442,2021-09-13
2021-09-20,79.3273696899414,79.62242126464844,83.43257141113281,77.22886657714844,81.0878677368164,1281202,2021-09-20
2021-09-27,79.91031646728516,80.11090087890625,82.55330657958984,78.35237121582031,80.11090087890625,1463585,2021-09-27
2021-10-04,82.63896179199219,82.84639739990234,86.90078735351562,79.7201156616211,81.0878677368164,2808120,2021-10-04
2021-10-11,79.47178649902344,79.67127227783203,84.11644744873047,78.93854522705078,82.35791778564453,981596,2021-10-11
2021-10-18,75.57372283935547,75.76342010498047,81.86943817138672,72.97908020019531,80.06205749511719,1729554,2021-10-18
2021-10-25,73.1374282836914,73.32101440429688,77.2777099609375,71.31824493408203,76.15420532226562,1074902,2021-10-25
2021-11-01,74.79410552978516,74.98184967041016,75.86111450195312,72.29520416259766,74.15143585205078,282127,2021-11-01
2021-11-08,77.32785034179688,77.5219497680664,80.69708251953125,74.2979736328125,74.98184967041016,1323812,2021-11-08
2021-11-15,74.11194610595703,74.2979736328125,78.98739624023438,73.76065063476562,77.5219497680664,360154,2021-11-15
2021-11-22,70.60369110107422,70.78091430664062,75.32379150390625,69.5108642578125,75.03070068359375,909963,2021-11-22
2021-11-29,73.47850799560547,73.66294860839844,78.15697479248047,62.03710174560547,70.63436889648438,2545342,2021-11-29
2021-12-06,71.48075866699219,71.6601791381836,73.66294860839844,69.4620132446289,72.1486587524414,583546,2021-12-06
2021-12-13,68.06995391845703,68.24081420898438,74.6399154663086,67.89887237548828,73.07677459716797,518023,2021-12-13
