Date,Adj Close_SMLISUZU.NS,Close_SMLISUZU.NS,High_SMLISUZU.NS,Low_SMLISUZU.NS,Open_SMLISUZU.NS,Volume_SMLISUZU.NS,Date
2020-07-13,399.634521484375,405.3500061035156,412.79998779296875,390.0,406.5,116183,2020-07-13
2020-07-20,381.2474670410156,386.70001220703125,410.0,384.70001220703125,402.6499938964844,192882,2020-07-20
2020-07-27,387.40936279296875,392.95001220703125,402.75,373.25,385.0,200093,2020-07-27
2020-08-03,395.8880920410156,401.54998779296875,408.0,392.54998779296875,398.79998779296875,152689,2020-08-03
2020-08-10,396.7261047363281,402.3999938964844,433.95001220703125,399.3999938964844,403.6499938964844,434645,2020-08-10
2020-08-17,445.725341796875,452.1000061035156,465.3999938964844,398.54998779296875,408.79998779296875,815724,2020-08-17
2020-08-24,444.1971740722656,450.54998779296875,466.8999938964844,438.04998779296875,462.0,430876,2020-08-24
2020-08-31,428.6199645996094,434.75,453.3999938964844,406.6499938964844,452.5,204918,2020-08-31
2020-09-07,407.8667907714844,413.70001220703125,442.45001220703125,401.04998779296875,438.5,115781,2020-09-07
2020-09-14,413.5849914550781,419.5,444.0,416.0,424.79998779296875,132120,2020-09-14
2020-09-21,386.0783996582031,391.6000061035156,422.95001220703125,380.0,422.95001220703125,74377,2020-09-21
2020-09-28,388.1980895996094,393.75,402.0,387.45001220703125,395.95001220703125,62614,2020-09-28
2020-10-05,385.2896423339844,390.79998779296875,404.70001220703125,382.0,396.95001220703125,53350,2020-10-05
2020-10-12,372.3744201660156,377.70001220703125,394.20001220703125,374.6000061035156,392.79998779296875,35984,2020-10-12
2020-10-19,378.5855712890625,384.0,388.8999938964844,370.20001220703125,379.1000061035156,73198,2020-10-19
2020-10-26,367.8885498046875,373.1499938964844,394.0,369.54998779296875,388.8500061035156,61456,2020-10-26
2020-11-02,406.8808898925781,412.70001220703125,444.0,365.0,372.5,977038,2020-11-02
2020-11-09,409.34564208984375,415.20001220703125,423.0,400.1000061035156,405.3500061035156,142570,2020-11-09
2020-11-16,424.6763916015625,430.75,452.5,415.0,416.3500061035156,368960,2020-11-16
2020-11-23,421.17645263671875,427.20001220703125,442.6499938964844,420.5,439.0,149080,2020-11-23
2020-11-30,454.25335693359375,460.75,467.8999938964844,427.20001220703125,427.20001220703125,381396,2020-11-30
2020-12-07,471.9009704589844,478.6499938964844,521.0,458.0,460.75,665805,2020-12-07
2020-12-14,462.73211669921875,469.3500061035156,489.70001220703125,462.0,478.0,106067,2020-12-14
2020-12-21,445.57745361328125,451.95001220703125,476.8999938964844,411.29998779296875,467.3500061035156,96650,2020-12-21
2020-12-28,468.203857421875,474.8999938964844,497.75,455.70001220703125,455.70001220703125,142060,2020-12-28
2021-01-04,479.3445129394531,486.20001220703125,494.70001220703125,464.95001220703125,475.54998779296875,221007,2021-01-04
2021-01-11,471.0136413574219,477.75,508.70001220703125,475.25,490.70001220703125,291242,2021-01-11
2021-01-18,513.5552978515625,520.9000244140625,549.9000244140625,462.25,474.0,1128346,2021-01-18
2021-01-25,481.0205383300781,487.8999938964844,533.7999877929688,481.1499938964844,526.7999877929688,131119,2021-01-25
2021-02-01,507.9356384277344,515.2000122070312,553.9500122070312,481.5,490.0,433786,2021-02-01
2021-02-08,496.4006042480469,503.5,524.0,500.0,516.0,110155,2021-02-08
2021-02-15,483.3866882324219,490.29998779296875,510.0,488.0,507.70001220703125,146740,2021-02-15
2021-02-22,474.1192321777344,480.8999938964844,494.3999938964844,471.0,490.0,75689,2021-02-22
2021-03-01,486.7880554199219,493.75,509.79998779296875,481.0,485.29998779296875,122400,2021-03-01
2021-03-08,475.05584716796875,481.8500061035156,508.0,480.0,493.0,67202,2021-03-08
2021-03-15,445.4788818359375,451.8500061035156,484.8500061035156,430.1499938964844,482.0,92144,2021-03-15
2021-03-22,454.25335693359375,460.75,507.8999938964844,442.70001220703125,442.70001220703125,468293,2021-03-22
2021-03-29,463.0771789550781,469.70001220703125,484.95001220703125,450.0,460.75,77506,2021-03-29
2021-04-05,457.11248779296875,463.6499938964844,476.0,450.0,474.8999938964844,81074,2021-04-05
2021-04-12,452.9717102050781,459.45001220703125,477.0,430.0,452.29998779296875,65227,2021-04-12
2021-04-19,448.7816467285156,455.20001220703125,475.0,443.0,443.79998779296875,39959,2021-04-19
2021-04-26,446.0210876464844,452.3999938964844,469.6499938964844,448.20001220703125,455.0,50177,2021-04-26
2021-05-03,449.6689453125,456.1000061035156,477.70001220703125,441.1000061035156,444.0,118485,2021-05-03
2021-05-10,437.2466125488281,443.5,484.3999938964844,442.0,463.95001220703125,130026,2021-05-10
2021-05-17,438.971923828125,445.25,462.45001220703125,435.1499938964844,445.45001220703125,337985,2021-05-17
2021-05-24,448.7322998046875,455.1499938964844,471.0,442.29998779296875,446.5,280394,2021-05-24
