Date,Adj Close_SNOWMAN.NS,Close_SNOWMAN.NS,High_SNOWMAN.NS,Low_SNOWMAN.NS,Open_SNOWMAN.NS,Volume_SNOWMAN.NS,Date
2020-07-13,28.767086029052734,30.399999618530273,30.850000381469727,29.5,30.25,1024401,2020-07-13
2020-07-20,28.625141143798828,30.25,31.700000762939453,30.149999618530273,30.600000381469727,2123847,2020-07-20
2020-07-27,27.96274185180664,29.549999237060547,33.849998474121094,29.399999618530273,30.0,4741279,2020-07-27
2020-08-03,27.82080078125,29.399999618530273,30.149999618530273,28.75,29.299999237060547,2517274,2020-08-03
2020-08-10,29.334856033325195,31.0,32.79999923706055,29.399999618530273,29.700000762939453,3973501,2020-08-10
2020-08-17,34.39748764038086,36.349998474121094,39.0,30.799999237060547,30.850000381469727,6486058,2020-08-17
2020-08-24,31.132801055908203,32.900001525878906,37.20000076293945,32.45000076293945,36.5,2877068,2020-08-24
2020-08-31,29.949941635131836,31.649999618530273,33.900001525878906,30.549999237060547,32.900001525878906,1772941,2020-08-31
2020-09-07,29.382169723510742,31.049999237060547,32.400001525878906,29.700000762939453,31.100000381469727,1946269,2020-09-07
2020-09-14,31.322053909301758,33.099998474121094,34.75,31.200000762939453,31.25,2298807,2020-09-14
2020-09-21,31.653257369995117,33.45000076293945,35.849998474121094,31.0,33.95000076293945,2459433,2020-09-21
2020-09-28,36.05348205566406,38.099998474121094,38.75,33.0,33.70000076293945,5079821,2020-09-28
2020-10-05,36.7631950378418,38.849998474121094,40.5,35.099998474121094,38.5,3902573,2020-10-05
2020-10-12,33.45119857788086,35.349998474121094,41.099998474121094,35.099998474121094,39.79999923706055,4162316,2020-10-12
2020-10-19,34.72868728637695,36.70000076293945,38.29999923706055,35.20000076293945,35.5,1581752,2020-10-19
2020-10-26,33.45119857788086,35.349998474121094,42.0,35.20000076293945,36.95000076293945,7544147,2020-10-26
2020-11-02,33.73508834838867,35.650001525878906,36.70000076293945,34.5,35.650001525878906,1300342,2020-11-02
2020-11-09,51.477943420410156,54.400001525878906,54.75,35.54999923706055,36.849998474121094,14815420,2020-11-09
2020-11-16,60.84617233276367,64.30000305175781,67.3499984741211,45.650001525878906,45.650001525878906,27072386,2020-11-16
2020-11-23,54.88457107543945,58.0,66.4000015258789,54.099998474121094,66.0,21379967,2020-11-23
2020-11-30,54.60068893432617,57.70000076293945,61.349998474121094,54.70000076293945,58.0,13814506,2020-11-30
2020-12-07,61.413944244384766,64.9000015258789,70.0,55.79999923706055,59.0,43377080,2020-12-07
2020-12-14,53.13394546508789,56.150001525878906,66.4000015258789,55.599998474121094,66.4000015258789,24479951,2020-12-14
2020-12-21,49.34880447387695,52.150001525878906,56.79999923706055,49.099998474121094,55.5,15223647,2020-12-21
2020-12-28,61.22468185424805,64.69999694824219,71.25,51.54999923706055,52.25,124601437,2020-12-28
2021-01-04,56.63520050048828,59.849998474121094,66.4000015258789,58.5,65.9000015258789,24954796,2021-01-04
2021-01-11,55.68891525268555,58.849998474121094,65.5,58.20000076293945,64.4000015258789,25644278,2021-01-11
2021-01-18,53.70171356201172,56.75,62.95000076293945,56.20000076293945,58.95000076293945,19073217,2021-01-18
2021-01-25,52.47154235839844,55.45000076293945,57.75,52.0,57.099998474121094,7568412,2021-01-25
2021-02-01,50.24776840209961,53.099998474121094,56.5,53.0,55.95000076293945,9301658,2021-02-01
2021-02-08,47.07771301269531,49.75,54.20000076293945,48.54999923706055,53.599998474121094,10099899,2021-02-08
2021-02-15,47.172340393066406,49.849998474121094,51.900001525878906,43.54999923706055,50.0,21403804,2021-02-15
2021-02-22,50.626285552978516,53.5,57.849998474121094,48.599998474121094,49.95000076293945,24770513,2021-02-22
2021-03-01,50.484344482421875,53.349998474121094,55.29999923706055,51.0,54.29999923706055,17130899,2021-03-01
2021-03-08,51.14674377441406,54.04999923706055,57.099998474121094,52.70000076293945,53.849998474121094,23807192,2021-03-08
2021-03-15,44.99588394165039,47.54999923706055,54.900001525878906,44.5,54.79999923706055,13498815,2021-03-15
