Date,Adj Close_SOLARINDS.NS,Close_SOLARINDS.NS,High_SOLARINDS.NS,Low_SOLARINDS.NS,Open_SOLARINDS.NS,Volume_SOLARINDS.NS,Date
2020-07-13,1013.4089965820312,1029.1500244140625,1035.8499755859375,991.25,1003.9000244140625,49067,2020-07-13
2020-07-20,1001.78955078125,1017.3499755859375,1110.0,1010.0,1034.300048828125,72979,2020-07-20
2020-07-27,1000.460205078125,1016.0,1034.25,983.8499755859375,1028.0,95644,2020-07-27
2020-08-03,951.7665405273438,966.5499877929688,1015.0,940.0,996.0,255226,2020-08-03
2020-08-10,1014.9353637695312,1030.699951171875,1045.550048828125,984.0499877929688,994.9500122070312,125813,2020-08-10
2020-08-17,1074.510009765625,1091.199951171875,1124.0,1011.0499877929688,1044.0,87892,2020-08-17
2020-08-24,1132.3612060546875,1149.949951171875,1189.949951171875,1063.949951171875,1091.300048828125,308914,2020-08-24
2020-08-31,1058.607177734375,1075.050048828125,1158.0,1060.0,1158.0,509094,2020-08-31
2020-09-07,998.6520385742188,1008.5499877929688,1080.449951171875,966.2999877929688,1080.0,163338,2020-09-07
2020-09-14,1077.916259765625,1088.5999755859375,1122.5999755859375,1010.0499877929688,1013.5999755859375,141471,2020-09-14
2020-09-21,1015.3366088867188,1025.4000244140625,1089.4000244140625,1002.5499877929688,1079.0,92672,2020-09-21
2020-09-28,1057.6175537109375,1068.0999755859375,1107.4000244140625,1025.0,1030.0,66589,2020-09-28
2020-10-05,1079.797607421875,1090.5,1160.0,1060.0,1115.0,429937,2020-10-05
2020-10-12,1026.8228759765625,1037.0,1099.0,1021.0499877929688,1079.800048828125,470551,2020-10-12
2020-10-19,1017.9111938476562,1028.0,1057.550048828125,1011.6500244140625,1042.199951171875,276795,2020-10-19
2020-10-26,999.939208984375,1009.8499755859375,1062.699951171875,1005.0,1026.0,259468,2020-10-26
2020-11-02,1023.2085571289062,1033.3499755859375,1065.5,1002.0,1002.0,114448,2020-11-02
2020-11-09,993.6021118164062,1003.4500122070312,1049.0,978.0,1034.949951171875,115069,2020-11-09
2020-11-16,978.501708984375,988.2000122070312,1015.0,978.0,987.9500122070312,67538,2020-11-16
2020-11-23,1032.912353515625,1043.1500244140625,1067.800048828125,988.2000122070312,988.2000122070312,1174072,2020-11-23
2020-11-30,1051.03271484375,1061.449951171875,1079.0,1027.0999755859375,1043.1500244140625,101889,2020-11-30
2020-12-07,1024.3472900390625,1034.5,1080.0,1030.0,1080.0,67786,2020-12-07
2020-12-14,1050.9833984375,1061.4000244140625,1114.0,1052.550048828125,1060.0,202924,2020-12-14
2020-12-21,1061.974365234375,1072.5,1103.949951171875,1032.0,1062.4000244140625,91587,2020-12-21
2020-12-28,1082.3720703125,1093.0999755859375,1097.75,1063.0999755859375,1077.9000244140625,110583,2020-12-28
2021-01-04,1117.6226806640625,1128.699951171875,1143.949951171875,1089.5,1095.0,249601,2021-01-04
2021-01-11,1167.132080078125,1178.699951171875,1243.949951171875,1120.0,1134.3499755859375,331181,2021-01-11
2021-01-18,1163.9141845703125,1175.449951171875,1199.0,1155.0999755859375,1184.5,55974,2021-01-18
