Date,Adj Close_SOMANYCERA.NS,Close_SOMANYCERA.NS,High_SOMANYCERA.NS,Low_SOMANYCERA.NS,Open_SOMANYCERA.NS,Volume_SOMANYCERA.NS,Date
2020-07-13,114.97714233398438,117.19999694824219,118.9000015258789,111.05000305175781,116.0,179742,2020-07-13
2020-07-20,119.7842025756836,122.0999984741211,126.0,111.8499984741211,117.19999694824219,488361,2020-07-20
2020-07-27,126.60238647460938,129.0500030517578,138.1999969482422,118.69999694824219,123.30000305175781,931044,2020-07-27
2020-08-03,128.56443786621094,131.0500030517578,135.3000030517578,123.5999984741211,131.0,412843,2020-08-03
2020-08-10,130.77178955078125,133.3000030517578,145.14999389648438,131.0,131.10000610351562,541339,2020-08-10
2020-08-17,154.0713348388672,157.0500030517578,164.89999389648438,132.5,134.5,1150843,2020-08-17
2020-08-24,162.85157775878906,166.0,176.85000610351562,158.75,159.5,1163371,2020-08-24
2020-08-31,156.52392578125,159.5500030517578,174.0,149.1999969482422,171.0,491860,2020-08-31
2020-09-07,151.91305541992188,154.85000610351562,163.0,144.5,161.5500030517578,291543,2020-09-07
2020-09-14,181.3931121826172,184.89999389648438,191.64999389648438,157.89999389648438,157.89999389648438,1331938,2020-09-14
2020-09-21,177.27276611328125,180.6999969482422,198.8000030517578,162.64999389648438,188.8000030517578,592339,2020-09-21
2020-09-28,196.648193359375,200.4499969482422,204.5,177.35000610351562,184.39999389648438,631075,2020-09-28
2020-10-05,200.22897338867188,204.10000610351562,215.9499969482422,192.0500030517578,201.0,640379,2020-10-05
2020-10-12,191.54681396484375,195.25,208.89999389648438,189.14999389648438,206.39999389648438,382221,2020-10-12
2020-10-19,219.40817260742188,223.64999389648438,232.0,194.64999389648438,194.64999389648438,1300187,2020-10-19
2020-10-26,205.1831817626953,209.14999389648438,225.0,206.0,225.0,193369,2020-10-26
2020-11-02,222.59652709960938,226.89999389648438,235.6999969482422,201.14999389648438,210.0,1064656,2020-11-02
2020-11-09,254.03868103027344,258.95001220703125,260.0,221.14999389648438,229.85000610351562,1766122,2020-11-09
2020-11-16,253.05763244628906,257.95001220703125,269.0,250.4499969482422,251.75,604367,2020-11-16
2020-11-23,274.78753662109375,280.1000061035156,284.6000061035156,255.0,260.0,814873,2020-11-23
2020-11-30,294.2120056152344,299.8999938964844,307.3999938964844,278.04998779296875,280.1000061035156,664461,2020-11-30
2020-12-07,292.8385314941406,298.5,313.54998779296875,294.8999938964844,300.0,460933,2020-12-07
2020-12-14,323.1033935546875,329.3500061035156,349.0,299.0,300.0,995636,2020-12-14
2020-12-21,321.4847106933594,327.70001220703125,336.1000061035156,290.0,329.3500061035156,888779,2020-12-21
2020-12-28,327.1747131347656,333.5,339.8999938964844,317.1499938964844,325.6000061035156,472435,2020-12-28
2021-01-04,341.6940002441406,348.29998779296875,354.70001220703125,330.20001220703125,336.6000061035156,461054,2021-01-04
2021-01-11,336.3473815917969,342.8500061035156,355.1499938964844,333.8500061035156,354.0,461012,2021-01-11
2021-01-18,376.91314697265625,384.20001220703125,399.0,337.0,344.6000061035156,901826,2021-01-18
2021-01-25,363.9144287109375,370.95001220703125,403.0,366.75,387.0,610925,2021-01-25
2021-02-01,377.0602722167969,384.3500061035156,430.25,366.5,366.5,1359435,2021-02-01
2021-02-08,416.39971923828125,424.45001220703125,433.79998779296875,366.1000061035156,387.0,709811,2021-02-08
2021-02-15,414.0942687988281,422.1000061035156,429.8999938964844,407.0,426.3999938964844,581509,2021-02-15
2021-02-22,428.66265869140625,436.95001220703125,453.0,411.0,418.0,523140,2021-02-22
2021-03-01,432.782958984375,441.1499938964844,453.5,431.1000061035156,440.45001220703125,344150,2021-03-01
2021-03-08,427.8778076171875,436.1499938964844,448.0,432.1000061035156,442.0,166382,2021-03-08
2021-03-15,405.3140563964844,413.1499938964844,444.0,400.04998779296875,444.0,399998,2021-03-15
2021-03-22,404.52923583984375,412.3500061035156,421.0,400.0,415.0,122610,2021-03-22
2021-03-29,428.5517578125,434.29998779296875,437.0,412.1000061035156,412.3500061035156,51624,2021-03-29
2021-04-05,448.3857421875,454.3999938964844,459.0,407.5,434.3500061035156,318086,2021-04-05
2021-04-12,413.9969787597656,419.54998779296875,456.70001220703125,410.1499938964844,454.3999938964844,214470,2021-04-12
2021-04-19,408.22442626953125,413.70001220703125,430.04998779296875,406.5,408.0,273535,2021-04-19
2021-04-26,416.365234375,421.95001220703125,448.0,410.6499938964844,415.0,157827,2021-04-26
2021-05-03,412.5661926269531,418.1000061035156,435.0,407.45001220703125,421.29998779296875,307850,2021-05-03
2021-05-10,417.1053161621094,422.70001220703125,426.3500061035156,414.0,418.0,137404,2021-05-10
2021-05-17,429.9332580566406,435.70001220703125,444.8999938964844,424.0,424.0,131640,2021-05-17
2021-05-24,459.2895202636719,465.45001220703125,488.0,439.0,439.0,1208244,2021-05-24
2021-05-31,458.9441223144531,465.1000061035156,475.79998779296875,456.1499938964844,466.1000061035156,308247,2021-05-31
2021-06-07,465.3087463378906,471.54998779296875,484.0,456.95001220703125,470.0,340503,2021-06-07
2021-06-14,590.9732666015625,598.9000244140625,616.0,469.45001220703125,470.0,4929522,2021-06-14
2021-06-21,592.3053588867188,600.25,649.9500122070312,580.0,594.8499755859375,1648127,2021-06-21
2021-06-28,621.66162109375,630.0,630.4000244140625,590.0,610.0,472291,2021-06-28
2021-07-05,638.38720703125,646.9500122070312,660.0,625.0,639.5,297167,2021-07-05
2021-07-12,664.6844482421875,673.5999755859375,679.0,645.0999755859375,658.5999755859375,98115,2021-07-12
2021-07-19,699.9612426757812,709.3499755859375,725.0,659.9500122070312,680.0,192368,2021-07-19
2021-07-26,698.8265380859375,708.2000122070312,714.9000244140625,673.5,709.3499755859375,221698,2021-07-26
2021-08-02,699.9612426757812,709.3499755859375,745.0,686.5499877929688,709.0,228971,2021-08-02
2021-08-09,651.2644653320312,660.0,709.9500122070312,621.7999877929688,709.9500122070312,223864,2021-08-09
2021-08-16,631.5291748046875,640.0,669.0,617.1500244140625,659.9500122070312,96310,2021-08-16
2021-08-23,685.357177734375,694.5499877929688,700.0,607.0,635.0,257335,2021-08-23
2021-08-30,686.9853515625,696.2000122070312,714.0,650.4000244140625,694.5499877929688,102714,2021-08-30
2021-09-06,678.1044921875,687.2000122070312,710.0,662.25,700.0,264340,2021-09-06
2021-09-13,675.2921752929688,684.3499755859375,725.0,669.0999755859375,698.9500122070312,88273,2021-09-13
2021-09-20,707.8060913085938,717.2999877929688,725.0,636.5999755859375,675.0999755859375,183589,2021-09-20
2021-09-27,772.0938110351562,782.4500122070312,792.9500122070312,716.2999877929688,724.7000122070312,475913,2021-09-27
2021-10-04,811.218994140625,822.0999755859375,848.0,766.0999755859375,802.0,298592,2021-10-04
2021-10-11,823.2575073242188,834.2999877929688,863.2000122070312,811.0,832.0,153881,2021-10-11
2021-10-18,778.113037109375,788.5499877929688,876.0,775.0,876.0,103215,2021-10-18
2021-10-25,754.776123046875,764.9000244140625,850.2999877929688,751.0,825.0,139221,2021-10-25
2021-11-01,817.879638671875,828.8499755859375,829.5,726.7000122070312,745.0,105604,2021-11-01
2021-11-08,831.200927734375,842.3499755859375,896.0,794.8499755859375,839.0,304986,2021-11-08
2021-11-15,852.120361328125,863.5499877929688,970.0,841.0,848.4500122070312,393477,2021-11-15
2021-11-22,840.081787109375,851.3499755859375,891.0,791.0,863.0,194478,2021-11-22
2021-11-29,818.7677612304688,829.75,851.2999877929688,698.0999755859375,834.0,78448,2021-11-29
2021-12-06,845.459716796875,856.7999877929688,880.0,810.0,836.4500122070312,72355,2021-12-06
2021-12-13,843.0421142578125,854.3499755859375,894.7999877929688,830.25,865.0,94828,2021-12-13
2021-12-20,822.76416015625,833.7999877929688,868.0,799.9500122070312,831.1500244140625,177696,2021-12-20
2021-12-27,839.2924194335938,850.5499877929688,861.0,818.0,834.0,59782,2021-12-27
2022-01-03,921.539306640625,933.9000244140625,947.0,851.0,851.0,215578,2022-01-03
2022-01-10,901.9519653320312,914.0499877929688,944.7999877929688,901.6500244140625,939.0,263357,2022-01-10
2022-01-17,890.653564453125,902.5999755859375,945.5,875.25,924.7000122070312,188259,2022-01-17
2022-01-24,865.1456909179688,876.75,920.0,823.0,906.9000244140625,102559,2022-01-24
2022-01-31,823.2081909179688,834.25,928.7999877929688,828.0,871.2000122070312,196810,2022-01-31
2022-02-07,826.4151611328125,837.5,854.0,802.9000244140625,854.0,120025,2022-02-07
2022-02-14,785.3658447265625,795.9000244140625,850.5,790.0,792.0999755859375,116538,2022-02-14
2022-02-21,719.5979614257812,729.25,801.75,708.5,780.0,215929,2022-02-21
2022-02-28,648.5509033203125,657.25,746.0,614.0,729.0,195131,2022-02-28
2022-03-07,644.7025146484375,653.3499755859375,699.0999755859375,614.2999877929688,636.0,207453,2022-03-07
2022-03-14,670.0623168945312,679.0499877929688,689.1500244140625,650.0999755859375,655.0,123345,2022-03-14
2022-03-21,640.55810546875,649.1500244140625,798.2999877929688,637.2000122070312,684.2999877929688,369510,2022-03-21
2022-03-28,622.4016723632812,630.75,669.4000244140625,599.7000122070312,657.9000244140625,598782,2022-03-28
2022-04-04,650.1790771484375,658.9000244140625,668.0,633.2999877929688,633.4000244140625,433586,2022-04-04
2022-04-11,701.836181640625,711.25,738.8499755859375,656.0999755859375,674.9000244140625,504123,2022-04-11
2022-04-18,640.4100341796875,649.0,705.0,641.5499877929688,699.9000244140625,210636,2022-04-18
2022-04-25,631.0851440429688,639.5499877929688,662.0,633.0,662.0,158274,2022-04-25
2022-05-02,629.50634765625,637.9500122070312,647.25,590.9000244140625,647.0,197528,2022-05-02
2022-05-09,578.4906005859375,586.25,634.8499755859375,533.3499755859375,631.6500244140625,235221,2022-05-09
2022-05-16,585.3486328125,593.2000122070312,610.9500122070312,560.9000244140625,586.25,129278,2022-05-16
2022-05-23,585.989990234375,593.8499755859375,616.0,573.3499755859375,616.0,76731,2022-05-23
2022-05-30,577.5038452148438,585.25,610.1500244140625,580.0,600.0,45899,2022-05-30
2022-06-06,568.5242919921875,576.1500244140625,628.0,571.0999755859375,594.9000244140625,65285,2022-06-06
2022-06-13,559.1006469726562,566.5999755859375,576.0,550.0,576.0,30580,2022-06-13
2022-06-20,547.0621948242188,554.4000244140625,573.5499877929688,511.0,552.1500244140625,58187,2022-06-20
2022-06-27,569.0670166015625,576.7000122070312,579.9500122070312,545.5499877929688,565.4500122070312,35346,2022-06-27
2022-07-04,595.1669311523438,603.1500244140625,604.2999877929688,571.0,579.5999755859375,49358,2022-07-04
2022-07-11,611.9419555664062,620.1500244140625,629.0,590.0,606.2000122070312,69036,2022-07-11
2022-07-18,614.01416015625,622.25,637.9000244140625,600.5999755859375,628.0,114499,2022-07-18
2022-07-25,621.1681518554688,629.5,635.0,603.0999755859375,618.5499877929688,84493,2022-07-25
2022-08-01,625.2633056640625,633.6500244140625,645.0,615.5999755859375,629.5,133817,2022-08-01
2022-08-08,636.5123901367188,645.0499877929688,700.0,624.4000244140625,625.25,220110,2022-08-08
2022-08-15,637.844482421875,646.4000244140625,656.5499877929688,638.2000122070312,645.0499877929688,81310,2022-08-15
2022-08-22,638.2391967773438,646.7999877929688,655.7999877929688,620.0999755859375,649.2999877929688,87934,2022-08-22
2022-08-29,621.3655395507812,629.7000122070312,656.0,624.7999877929688,640.0,63506,2022-08-29
2022-09-05,622.0068969726562,630.3499755859375,640.4000244140625,610.2999877929688,624.0999755859375,186008,2022-09-05
2022-09-12,611.5472412109375,619.75,644.0,605.0,633.5499877929688,419804,2022-09-12
2022-09-19,578.1181640625,583.0499877929688,626.2999877929688,581.6500244140625,625.0,170623,2022-09-19
2022-09-26,542.3731079101562,547.0,584.7999877929688,530.8499755859375,570.5,142723,2022-09-26
