Date,Adj Close_SPECTRUM.NS,Close_SPECTRUM.NS,High_SPECTRUM.NS,Low_SPECTRUM.NS,Open_SPECTRUM.NS,Volume_SPECTRUM.NS,Date
2020-07-13,51.93529510498047,53.0,53.0,53.0,53.0,0,2020-07-13
2020-07-20,51.93529510498047,53.0,53.0,53.0,53.0,0,2020-07-20
2020-07-27,48.99555969238281,50.0,50.0,50.0,50.0,2000,2020-07-27
2020-08-03,57.32480239868164,58.5,58.5,50.0,50.0,10000,2020-08-03
2020-08-10,64.67414093017578,66.0,66.0,63.0,63.0,326000,2020-08-10
2020-08-17,67.6138687133789,69.0,69.0,66.0,66.0,2000,2020-08-17
2020-08-24,64.67414093017578,66.0,66.0,66.0,66.0,2000,2020-08-24
2020-08-31,58.79467010498047,60.0,63.0,60.0,63.0,4000,2020-08-31
2020-09-07,58.79467010498047,60.0,60.0,60.0,60.0,0,2020-09-07
2020-09-14,55.85493850708008,57.0,57.0,57.0,57.0,2000,2020-09-14
2020-09-21,64.67414093017578,66.0,66.0,60.0,60.0,42000,2020-09-21
2020-09-28,66.63396453857422,68.0,68.0,66.0,66.0,2000,2020-09-28
2020-10-05,66.63396453857422,68.0,68.0,68.0,68.0,0,2020-10-05
2020-10-12,66.63396453857422,68.0,68.0,68.0,68.0,0,2020-10-12
2020-10-19,66.63396453857422,68.0,68.0,68.0,68.0,0,2020-10-19
2020-10-26,66.63396453857422,68.0,68.0,68.0,68.0,0,2020-10-26
2020-11-02,66.63396453857422,68.0,68.0,68.0,68.0,0,2020-11-02
2020-11-09,66.63396453857422,68.0,68.0,68.0,68.0,0,2020-11-09
2020-11-16,63.69422912597656,65.0,68.0,65.0,68.0,2000,2020-11-16
2020-11-23,63.69422912597656,65.0,65.0,65.0,65.0,0,2020-11-23
2020-11-30,63.69422912597656,65.0,65.0,65.0,65.0,0,2020-11-30
2020-12-07,63.69422912597656,65.0,65.0,65.0,65.0,0,2020-12-07
2020-12-14,63.69422912597656,65.0,65.0,65.0,65.0,0,2020-12-14
2020-12-21,63.69422912597656,65.0,65.0,65.0,65.0,0,2020-12-21
2020-12-28,63.69422912597656,65.0,65.0,65.0,65.0,0,2020-12-28
2021-01-04,63.69422912597656,65.0,65.0,65.0,65.0,0,2021-01-04
2021-01-11,58.79467010498047,60.0,65.0,60.0,65.0,40000,2021-01-11
2021-01-18,58.79467010498047,60.0,60.0,60.0,60.0,0,2021-01-18
2021-01-25,58.79467010498047,60.0,60.0,60.0,60.0,2000,2021-01-25
2021-02-01,58.79467010498047,60.0,60.0,60.0,60.0,0,2021-02-01
2021-02-08,58.79467010498047,60.0,60.0,60.0,60.0,0,2021-02-08
2021-02-15,56.8348503112793,58.0,60.0,58.0,60.0,2000,2021-02-15
2021-02-22,56.8348503112793,58.0,58.0,58.0,58.0,0,2021-02-22
2021-03-01,56.8348503112793,58.0,58.0,58.0,58.0,2000,2021-03-01
2021-03-08,56.8348503112793,58.0,58.0,58.0,58.0,0,2021-03-08
2021-03-15,56.8348503112793,58.0,58.0,58.0,58.0,0,2021-03-15
2021-03-22,55.85493850708008,57.0,58.0,57.0,58.0,2000,2021-03-22
2021-03-29,55.85493850708008,57.0,57.0,57.0,57.0,0,2021-03-29
2021-04-05,55.85493850708008,57.0,57.0,57.0,57.0,0,2021-04-05
2021-04-12,55.85493850708008,57.0,57.0,57.0,57.0,0,2021-04-12
2021-04-19,54.87502670288086,56.0,56.0,45.599998474121094,45.599998474121094,4000,2021-04-19
2021-04-26,57.81475830078125,59.0,59.0,56.0,56.0,2000,2021-04-26
2021-05-03,56.34489440917969,57.5,57.5,57.5,57.5,2000,2021-05-03
2021-05-10,56.34489440917969,57.5,57.5,57.5,57.5,0,2021-05-10
2021-05-17,56.8348503112793,58.0,58.0,57.5,57.5,172000,2021-05-17
2021-05-24,57.32480239868164,58.5,60.0,58.0,58.0,4000,2021-05-24
2021-05-31,53.40515899658203,54.5,58.5,54.5,58.5,4000,2021-05-31
2021-06-07,50.465423583984375,51.5,54.5,51.5,54.5,4000,2021-06-07
2021-06-14,49.975467681884766,51.0,51.5,51.0,51.5,20000,2021-06-14
2021-06-21,49.485511779785156,50.5,51.0,50.5,51.0,60000,2021-06-21
2021-06-28,53.89511489868164,55.0,55.0,50.5,50.5,2000,2021-06-28
2021-07-05,50.2204475402832,51.25,57.0,51.0,57.0,26000,2021-07-05
2021-07-12,50.2204475402832,51.25,51.25,51.25,51.25,0,2021-07-12
2021-07-19,50.2204475402832,51.25,51.25,51.25,51.25,0,2021-07-19
2021-07-26,47.525691986083984,48.5,51.25,48.5,51.25,2000,2021-07-26
2021-08-02,50.955379486083984,52.0,52.0,48.5,48.5,4000,2021-08-02
2021-08-09,50.955379486083984,52.0,52.0,52.0,52.0,0,2021-08-09
2021-08-16,53.89511489868164,55.0,55.0,55.0,55.0,4000,2021-08-16
2021-08-23,53.89511489868164,55.0,55.0,52.20000076293945,52.20000076293945,4000,2021-08-23
2021-08-30,52.42525100708008,53.5,55.0,53.5,55.0,2000,2021-08-30
2021-09-06,56.889286041259766,57.0,57.0,57.0,57.0,2000,2021-09-06
2021-09-13,56.889286041259766,57.0,57.0,57.0,57.0,0,2021-09-13
2021-09-20,56.3902587890625,56.5,57.0,56.0,57.0,6000,2021-09-20
2021-09-27,54.89317321777344,55.0,57.0,50.0,52.5,206000,2021-09-27
2021-10-04,50.15239715576172,50.25,55.0,50.25,55.0,60000,2021-10-04
2021-10-11,50.15239715576172,50.25,50.25,50.25,50.25,2000,2021-10-11
2021-10-18,50.15239715576172,50.25,50.25,50.25,50.25,0,2021-10-18
2021-10-25,59.883460998535156,60.0,60.0,50.25,50.25,6000,2021-10-25
2021-11-01,59.883460998535156,60.0,60.0,60.0,60.0,0,2021-11-01
2021-11-08,59.883460998535156,60.0,60.0,60.0,60.0,0,2021-11-08
2021-11-15,59.883460998535156,60.0,60.0,60.0,60.0,0,2021-11-15
2021-11-22,50.950843811035156,51.04999923706055,51.04999923706055,51.04999923706055,51.04999923706055,2000,2021-11-22
2021-11-29,50.950843811035156,51.04999923706055,51.599998474121094,51.04999923706055,51.04999923706055,154000,2021-11-29
2021-12-06,50.90093994140625,51.0,51.0,51.0,51.0,2000,2021-12-06
2021-12-13,50.90093994140625,51.0,51.0,51.0,51.0,0,2021-12-13
2021-12-20,50.90093994140625,51.0,51.0,51.0,51.0,0,2021-12-20
2021-12-27,50.90093994140625,51.0,51.0,51.0,51.0,0,2021-12-27
2022-01-03,52.99686050415039,53.099998474121094,53.5,53.099998474121094,53.5,198000,2022-01-03
2022-01-10,52.99686050415039,53.099998474121094,53.099998474121094,53.099998474121094,53.099998474121094,0,2022-01-10
2022-01-17,52.99686050415039,53.099998474121094,53.099998474121094,53.099998474121094,53.099998474121094,0,2022-01-17
2022-01-24,52.99686050415039,53.099998474121094,53.099998474121094,53.099998474121094,53.099998474121094,0,2022-01-24
2022-01-31,84.83489990234375,85.0,85.0,53.099998474121094,53.099998474121094,6000,2022-01-31
2022-02-07,116.62303924560547,116.8499984741211,116.8499984741211,79.0,93.5,38000,2022-02-07
2022-02-14,116.62303924560547,116.8499984741211,116.8499984741211,116.8499984741211,116.8499984741211,0,2022-02-14
2022-02-21,95.31450653076172,95.5,116.8499984741211,95.5,116.8499984741211,8000,2022-02-21
