Date,Adj Close_TATACONSUM.NS,Close_TATACONSUM.NS,High_TATACONSUM.NS,Low_TATACONSUM.NS,Open_TATACONSUM.NS,Volume_TATACONSUM.NS,Date
2020-07-13,406.9443359375,423.0,424.5,407.1499938964844,422.8500061035156,6844419,2020-07-13
2020-07-20,392.94659423828125,408.45001220703125,426.70001220703125,402.3500061035156,426.70001220703125,13169744,2020-07-20
2020-07-27,411.8026428222656,428.04998779296875,434.0,404.29998779296875,408.45001220703125,17552975,2020-07-27
2020-08-03,498.9156494140625,518.5999755859375,529.9500122070312,427.70001220703125,428.95001220703125,76353719,2020-08-03
2020-08-10,517.098388671875,537.5,544.5,509.1499938964844,520.9500122070312,29205918,2020-08-10
2020-08-17,525.083251953125,545.7999877929688,556.9500122070312,538.2999877929688,541.1500244140625,19735707,2020-08-17
2020-08-24,526.2857666015625,547.0499877929688,561.4000244140625,541.25,546.5,15016608,2020-08-24
2020-08-31,547.4507446289062,569.0499877929688,591.9500122070312,526.0,549.0,31952932,2020-08-31
2020-09-07,527.5845336914062,548.4000244140625,572.0,529.1500244140625,570.0,20775781,2020-09-07
2020-09-14,520.0806274414062,540.5999755859375,555.2000122070312,533.1500244140625,552.0,19870751,2020-09-14
2020-09-21,490.4496765136719,509.79998779296875,542.2999877929688,478.0,540.5999755859375,28084449,2020-09-21
2020-09-28,489.7762756347656,509.1000061035156,527.0,495.54998779296875,514.0,19794981,2020-09-28
2020-10-05,453.3629455566406,471.25,513.5,470.04998779296875,513.4000244140625,19295212,2020-10-05
2020-10-12,458.99090576171875,477.1000061035156,494.20001220703125,463.54998779296875,474.5,23718340,2020-10-12
2020-10-19,454.85406494140625,472.79998779296875,484.25,458.95001220703125,481.8999938964844,16885888,2020-10-19
2020-10-26,474.1430358886719,492.8500061035156,504.79998779296875,470.1499938964844,474.8999938964844,30522080,2020-10-26
2020-11-02,485.062255859375,504.20001220703125,510.3500061035156,488.29998779296875,494.0,27651977,2020-11-02
2020-11-09,496.55865478515625,516.1500244140625,519.0,495.0,511.0,19621139,2020-11-09
2020-11-16,499.34857177734375,519.0499877929688,528.0,512.25,513.25,12890922,2020-11-16
2020-11-23,517.5792236328125,538.0,545.2999877929688,505.04998779296875,520.0,34746940,2020-11-23
2020-11-30,542.1113891601562,563.5,566.9000244140625,525.2999877929688,538.0,16829660,2020-11-30
2020-12-07,554.5217895507812,576.4000244140625,589.3499755859375,558.0,563.9500122070312,17160856,2020-12-07
2020-12-14,551.7799682617188,573.5499877929688,593.4000244140625,566.5,579.7999877929688,18258240,2020-12-14
2020-12-21,578.1880493164062,601.0,616.0999755859375,551.0,574.0,20959554,2020-12-21
2020-12-28,578.6691284179688,601.5,611.9500122070312,587.0,607.7000122070312,12693051,2020-12-28
2021-01-04,586.4135131835938,609.5499877929688,614.2999877929688,595.4000244140625,606.9500122070312,13756032,2021-01-04
2021-01-11,579.534912109375,602.4000244140625,634.9000244140625,595.0,613.0,22651964,2021-01-11
2021-01-18,562.5548095703125,584.75,612.75,577.3499755859375,601.5,24060841,2021-01-18
2021-01-25,538.5518188476562,559.7999877929688,589.8499755859375,554.25,587.7999877929688,14041420,2021-01-25
2021-02-01,570.0106811523438,592.5,600.0,554.3499755859375,563.0,30755309,2021-02-01
2021-02-08,584.4413452148438,607.5,622.0,594.5499877929688,595.0,20134655,2021-02-08
2021-02-15,593.5326538085938,616.9500122070312,645.7000122070312,607.4000244140625,608.0,25681102,2021-02-15
2021-02-22,586.0286865234375,609.1500244140625,654.0,604.5,619.0,28246740,2021-02-22
2021-03-01,599.0162353515625,622.6500244140625,648.0,609.2000122070312,614.9000244140625,14644571,2021-03-01
2021-03-08,591.8971557617188,615.25,628.2000122070312,602.0,626.9000244140625,9668274,2021-03-08
2021-03-15,577.4664916992188,600.25,618.7999877929688,577.0499877929688,617.0999755859375,15770770,2021-03-15
2021-03-22,604.4517211914062,628.2999877929688,640.0,596.25,603.0,17572046,2021-03-22
2021-03-29,625.4724731445312,650.1500244140625,652.9500122070312,617.5499877929688,628.2999877929688,28163778,2021-03-29
2021-04-05,653.9970703125,679.7999877929688,685.0,638.0999755859375,651.9500122070312,20148182,2021-04-05
2021-04-12,645.819580078125,671.2999877929688,677.9000244140625,647.1500244140625,675.0,13168745,2021-04-12
2021-04-19,639.3740234375,664.5999755859375,698.0,651.5,662.0,16192983,2021-04-19
2021-04-26,644.0880126953125,669.5,693.0,662.0499877929688,667.0,13458341,2021-04-26
2021-05-03,605.125244140625,629.0,686.2999877929688,614.0,661.8499755859375,31317703,2021-05-03
2021-05-10,620.662353515625,645.1500244140625,649.9000244140625,621.0,627.0,15710466,2021-05-10
2021-05-17,625.0396118164062,649.7000122070312,661.0,640.0999755859375,646.0,12064710,2021-05-17
2021-05-24,630.0902099609375,654.9500122070312,657.7000122070312,638.5,650.0,13495831,2021-05-24
2021-05-31,660.8756103515625,686.9500122070312,689.9500122070312,650.2000122070312,659.9500122070312,13678564,2021-05-31
2021-06-07,688.2457885742188,715.4000244140625,718.75,687.2999877929688,690.0,15275863,2021-06-07
2021-06-14,715.7935791015625,739.7999877929688,747.4500122070312,702.5999755859375,715.4000244140625,16251653,2021-06-14
2021-06-21,733.0159301757812,757.5999755859375,765.0,727.8499755859375,729.0,11151132,2021-06-21
2021-06-28,738.8212890625,763.5999755859375,771.9000244140625,749.4000244140625,762.0,8556919,2021-06-28
