Date,Adj Close_TATAELXSI.NS,Close_TATAELXSI.NS,High_TATAELXSI.NS,Low_TATAELXSI.NS,Open_TATAELXSI.NS,Volume_TATAELXSI.NS,Date
2020-07-13,870.7351684570312,917.0,932.0,885.0,896.0,1521340,2020-07-13
2020-07-20,877.4981079101562,907.7000122070312,952.3499755859375,901.0,921.5999755859375,2609686,2020-07-20
2020-07-27,908.7233276367188,940.0,977.9500122070312,892.0499877929688,910.0,3928018,2020-07-27
2020-08-03,957.0596923828125,990.0,1005.0,932.5499877929688,940.0,3666884,2020-08-03
2020-08-10,986.68994140625,1020.6500244140625,1039.0,982.0,992.0,2369688,2020-08-10
2020-08-17,1025.3590087890625,1060.6500244140625,1086.0,1008.7000122070312,1025.0,2385879,2020-08-17
2020-08-24,1101.150390625,1139.050048828125,1208.5999755859375,1060.6500244140625,1064.699951171875,3477110,2020-08-24
2020-08-31,1112.2677001953125,1150.550048828125,1185.6500244140625,1056.4000244140625,1147.0,1797361,2020-08-31
2020-09-07,1247.0294189453125,1289.949951171875,1300.0,1160.0,1160.0,3401213,2020-09-07
2020-09-14,1231.030029296875,1273.4000244140625,1331.0,1250.5,1305.199951171875,3437303,2020-09-14
2020-09-21,1224.3114013671875,1266.449951171875,1314.9000244140625,1161.3499755859375,1271.949951171875,2577406,2020-09-21
2020-09-28,1233.8336181640625,1276.300048828125,1325.25,1263.300048828125,1284.800048828125,1206778,2020-09-28
2020-10-05,1347.6658935546875,1394.050048828125,1437.8499755859375,1287.300048828125,1290.0,3601167,2020-10-05
2020-10-12,1458.6461181640625,1508.8499755859375,1534.949951171875,1397.0,1405.0,5826476,2020-10-12
2020-10-19,1596.646240234375,1651.5999755859375,1710.0,1457.1500244140625,1505.0,4177380,2020-10-19
2020-10-26,1483.055908203125,1534.0999755859375,1708.0,1501.25,1665.0,3442630,2020-10-26
2020-11-02,1501.3271484375,1553.0,1594.0999755859375,1465.449951171875,1526.8499755859375,2006590,2020-11-02
2020-11-09,1454.0057373046875,1504.050048828125,1574.25,1455.0,1560.949951171875,2014501,2020-11-09
2020-11-16,1483.2008056640625,1534.25,1562.5,1486.550048828125,1486.550048828125,1203650,2020-11-16
2020-11-23,1535.4041748046875,1588.25,1609.0,1502.050048828125,1547.449951171875,2713231,2020-11-23
2020-11-30,1614.24072265625,1669.800048828125,1715.0,1588.25,1588.25,1613258,2020-11-30
2020-12-07,1552.4185791015625,1605.8499755859375,1725.0,1596.050048828125,1679.949951171875,1703021,2020-12-07
2020-12-14,1581.662109375,1636.0999755859375,1664.0,1586.5,1613.9000244140625,1287838,2020-12-14
2020-12-21,1701.10107421875,1759.6500244140625,1807.5,1468.0,1640.0,3769712,2020-12-21
2020-12-28,1805.7974853515625,1867.949951171875,1888.0,1762.0,1774.0,2607407,2020-12-28
2021-01-04,1975.3133544921875,2043.300048828125,2052.800048828125,1866.75,1880.949951171875,3016705,2021-01-04
2021-01-11,2279.348876953125,2357.800048828125,2575.0,2025.0,2081.800048828125,16879204,2021-01-11
2021-01-18,2480.4765625,2565.85009765625,2849.0,2330.64990234375,2354.0,10364370,2021-01-18
2021-01-25,2601.075927734375,2690.60009765625,2735.0,2408.0,2608.0,5964747,2021-01-25
2021-02-01,2723.994873046875,2817.75,3050.0,2690.0,2711.75,5251160,2021-02-01
2021-02-08,2742.4111328125,2836.800048828125,2953.800048828125,2801.0,2840.0,2410079,2021-02-08
2021-02-15,2649.411865234375,2740.60009765625,2919.0,2674.14990234375,2851.0,2102512,2021-02-15
2021-02-22,2569.415283203125,2657.85009765625,2754.0,2607.0,2731.35009765625,1529636,2021-02-22
2021-03-01,2626.645263671875,2717.050048828125,2770.0,2541.10009765625,2681.800048828125,3262867,2021-03-01
2021-03-08,2636.65087890625,2727.39990234375,2769.0,2600.050048828125,2733.0,1960437,2021-03-08
2021-03-15,2672.661865234375,2764.64990234375,2837.5,2605.0,2741.050048828125,2545333,2021-03-15
2021-03-22,2562.019775390625,2650.199951171875,2774.89990234375,2580.75,2730.0,1203877,2021-03-22
2021-03-29,2679.767333984375,2772.0,2797.0,2620.0,2650.199951171875,1345102,2021-03-29
2021-04-05,2998.400390625,3101.60009765625,3119.0,2755.0,2780.0,3495843,2021-04-05
2021-04-12,2865.185546875,2963.800048828125,3115.0,2802.10009765625,3107.050048828125,1422014,2021-04-12
2021-04-19,3079.65380859375,3185.64990234375,3340.0,2835.0,2910.0,2403916,2021-04-19
2021-04-26,3364.306640625,3480.10009765625,3519.60009765625,3155.0,3264.0,1296016,2021-04-26
2021-05-03,3567.94775390625,3690.75,4090.0,3450.75,3475.0,2083566,2021-05-03
2021-05-10,3365.949951171875,3481.800048828125,3727.0,3390.14990234375,3717.5,790414,2021-05-10
