Date,Adj Close_TCS.NS,Close_TCS.NS,High_TCS.NS,Low_TCS.NS,Open_TCS.NS,Volume_TCS.NS,Date
2020-07-13,2058.52197265625,2200.75,2333.0,2181.10009765625,2185.0,18660574,2020-07-13
2020-07-20,2022.50048828125,2157.39990234375,2238.64990234375,2125.10009765625,2201.0,14410332,2020-07-20
2020-07-27,2138.746826171875,2281.39990234375,2358.0,2163.5,2165.0,30253016,2020-07-27
2020-08-03,2151.824951171875,2295.35009765625,2328.0,2225.050048828125,2290.449951171875,18654444,2020-08-03
2020-08-10,2101.951416015625,2242.14990234375,2325.0,2233.10009765625,2318.0,14085614,2020-08-10
2020-08-17,2107.998291015625,2248.60009765625,2289.0,2238.25,2263.0,13832467,2020-08-17
2020-08-24,2098.576416015625,2238.550048828125,2287.35009765625,2216.449951171875,2250.60009765625,12970063,2020-08-24
2020-08-31,2145.684326171875,2288.800048828125,2324.25,2228.0,2240.0,21598648,2020-08-31
2020-09-07,2225.650634765625,2374.10009765625,2390.449951171875,2283.35009765625,2289.0,22395171,2020-09-07
2020-09-14,2296.710205078125,2449.89990234375,2538.0,2381.85009765625,2384.10009765625,26916336,2020-09-14
2020-09-21,2270.83642578125,2422.300048828125,2555.0,2302.60009765625,2465.0,36253677,2020-09-21
2020-09-28,2365.661865234375,2523.449951171875,2540.0,2366.0,2440.0,17870480,2020-09-28
2020-10-05,2637.059814453125,2812.949951171875,2885.0,2603.050048828125,2620.0,64493147,2020-10-05
2020-10-12,2590.514404296875,2763.300048828125,2854.89990234375,2727.0,2815.5,25132145,2020-10-12
2020-10-19,2529.537353515625,2686.800048828125,2774.0,2638.10009765625,2774.0,20068995,2020-10-19
2020-10-26,2508.87158203125,2664.85009765625,2718.14990234375,2600.25,2689.949951171875,16312670,2020-10-26
2020-11-02,2548.978271484375,2707.449951171875,2721.85009765625,2600.050048828125,2660.0,17045316,2020-11-02
2020-11-09,2514.050048828125,2670.35009765625,2744.0,2636.0,2731.10009765625,16933470,2020-11-09
2020-11-16,2504.540283203125,2660.25,2695.0,2607.050048828125,2656.85009765625,12600007,2020-11-16
2020-11-23,2522.80517578125,2679.64990234375,2743.0,2665.0,2690.0,18557090,2020-11-23
2020-11-30,2567.9013671875,2727.550048828125,2773.89990234375,2624.449951171875,2679.64990234375,11653124,2020-11-30
2020-12-07,2620.6708984375,2783.60009765625,2840.0,2706.14990234375,2715.0,13857423,2020-12-07
2020-12-14,2693.54052734375,2861.0,2898.0,2755.0,2802.0,16354468,2020-12-14
2020-12-21,2739.060791015625,2909.35009765625,2921.35009765625,2785.0,2861.0,10185064,2020-12-21
2020-12-28,2756.8544921875,2928.25,2952.0,2845.0,2910.0,13463509,2020-12-28
2021-01-04,2938.2275390625,3120.89990234375,3128.0,2940.949951171875,2950.0,24238184,2021-01-04
2021-01-11,3044.096435546875,3233.35009765625,3274.0,3120.39990234375,3230.0,27755532,2021-01-11
2021-01-18,3115.681884765625,3303.10009765625,3327.949951171875,3187.39990234375,3250.0,16421092,2021-01-18
2021-01-25,2934.8115234375,3111.35009765625,3339.800048828125,3100.0,3308.949951171875,13589146,2021-01-25
2021-02-01,2978.766845703125,3157.949951171875,3237.85009765625,3044.10009765625,3100.0,13796945,2021-02-01
