Date,Adj Close_TEGA.NS,Close_TEGA.NS,High_TEGA.NS,Low_TEGA.NS,Open_TEGA.NS,Volume_TEGA.NS,Date
2021-12-13,612.5610961914062,614.5,767.7000122070312,593.0499877929688,760.0,28781914,2021-12-13
2021-12-20,583.1043701171875,584.9500122070312,609.0,545.4000244140625,595.0999755859375,4227793,2021-12-20
2021-12-27,591.378173828125,593.25,621.9000244140625,571.7000122070312,575.0,2161264,2021-12-27
2022-01-03,585.4468994140625,587.2999877929688,606.5999755859375,571.0,596.0,2096940,2022-01-03
2022-01-10,588.038818359375,589.9000244140625,604.8499755859375,581.1500244140625,590.0,1664103,2022-01-10
2022-01-17,552.9000244140625,554.6500244140625,602.9500122070312,548.5,590.0,1318504,2022-01-17
2022-01-24,512.8267822265625,514.4500122070312,554.9000244140625,500.0,550.0,821063,2022-01-24
2022-01-31,508.34100341796875,509.95001220703125,528.5999755859375,494.5,527.7000122070312,1085816,2022-01-31
2022-02-07,529.1251831054688,530.7999877929688,555.5499877929688,486.0,514.2999877929688,1559271,2022-02-07
2022-02-14,473.7006530761719,475.20001220703125,522.5999755859375,473.04998779296875,510.0,978331,2022-02-14
2022-02-21,417.62811279296875,418.95001220703125,477.45001220703125,397.0,474.0,1015160,2022-02-21
2022-02-28,434.12591552734375,435.5,458.0,405.0,415.0,817469,2022-02-28
2022-03-07,456.15618896484375,457.6000061035156,464.0,415.0,417.8999938964844,359968,2022-03-07
2022-03-14,471.5574035644531,473.04998779296875,481.5,451.0,458.0,457765,2022-03-14
2022-03-21,467.8691101074219,469.3500061035156,481.6499938964844,466.25,478.70001220703125,431205,2022-03-21
2022-03-28,481.47601318359375,483.0,513.2000122070312,467.0,467.0,1459110,2022-03-28
2022-04-04,478.7347106933594,480.25,498.0,475.1000061035156,483.0,648666,2022-04-04
2022-04-11,466.1744384765625,467.6499938964844,488.0,466.0,480.0,204798,2022-04-11
2022-04-18,455.70758056640625,457.1499938964844,470.8500061035156,441.0,467.0,384948,2022-04-18
