Date,Adj Close_THEJO.NS,Close_THEJO.NS,High_THEJO.NS,Low_THEJO.NS,Open_THEJO.NS,Volume_THEJO.NS,Date
2020-07-13,174.0807342529297,176.6666717529297,176.6666717529297,176.6666717529297,176.6666717529297,1200,2020-07-13
2020-07-20,170.79620361328125,173.3333282470703,180.0,167.8333282470703,171.6666717529297,17400,2020-07-20
2020-07-27,165.5409393310547,168.0,175.0,163.3333282470703,175.0,36600,2020-07-27
2020-08-03,182.29209899902344,185.0,185.0,168.3333282470703,168.3333282470703,11400,2020-08-03
2020-08-10,183.9344024658203,186.6666717529297,193.3333282470703,183.36666870117188,191.6666717529297,18600,2020-08-10
2020-08-17,213.1996612548828,216.36666870117188,226.6666717529297,195.0,195.0,215400,2020-08-17
2020-08-24,237.56411743164062,239.23333740234375,239.23333740234375,211.6666717529297,216.6666717529297,590400,2020-08-24
2020-08-31,296.03662109375,298.1166687011719,298.1166687011719,238.6666717529297,251.18333435058594,195000,2020-08-31
2020-09-07,330.7096252441406,333.0333251953125,340.9666748046875,298.3500061035156,300.0,70800,2020-09-07
2020-09-14,367.4183349609375,370.0,383.6666564941406,333.3333435058594,333.3333435058594,77400,2020-09-14
2020-09-21,380.890380859375,383.5666809082031,385.0,340.4333190917969,384.0,81600,2020-09-21
2020-09-28,462.9471435546875,466.20001220703125,466.20001220703125,384.0,384.0,45000,2020-09-28
2020-10-05,400.5191345214844,403.3333435058594,489.5,400.0,480.0,45600,2020-10-05
2020-10-12,435.9369201660156,439.0,450.0,395.0,403.3333435058594,9600,2020-10-12
2020-10-19,473.3407897949219,476.6666564941406,483.6666564941406,449.8333435058594,449.8333435058594,21600,2020-10-19
2020-10-26,446.86016845703125,450.0,483.3333435058594,433.3333435058594,483.3333435058594,13200,2020-10-26
2020-11-02,448.5317077636719,451.6833190917969,467.6666564941406,444.3333435058594,467.6666564941406,9300,2020-11-02
2020-11-09,452.5369567871094,455.7166748046875,466.6666564941406,420.1666564941406,462.98333740234375,20700,2020-11-09
2020-11-16,400.85009765625,403.6666564941406,450.0,399.0666809082031,438.3333435058594,22200,2020-11-16
2020-11-23,398.86407470703125,401.6666564941406,425.95001220703125,385.0,401.6666564941406,20400,2020-11-23
2020-11-30,392.2439270019531,395.0,408.3333435058594,388.3333435058594,401.6666564941406,2700,2020-11-30
2020-12-07,375.0315246582031,377.6666564941406,408.3333435058594,377.6666564941406,408.3333435058594,11100,2020-12-07
2020-12-14,357.48809814453125,360.0,370.3333435058594,351.6666564941406,352.04998779296875,15000,2020-12-14
2020-12-21,347.55792236328125,350.0,363.3333435058594,326.6666564941406,361.6666564941406,22500,2020-12-21
2020-12-28,374.0384826660156,376.6666564941406,393.26666259765625,343.3333435058594,350.0,33000,2020-12-28
2021-01-04,402.1741638183594,405.0,416.6666564941406,358.3333435058594,366.6666564941406,28800,2021-01-04
2021-01-11,377.7458190917969,380.3999938964844,412.6666564941406,373.3333435058594,412.6666564941406,57900,2021-01-11
2021-01-18,361.60919189453125,364.1499938964844,390.0,354.0833435058594,374.0666809082031,12900,2021-01-18
2021-01-25,370.06640625,372.6666564941406,379.6000061035156,341.6666564941406,357.6666564941406,5700,2021-01-25
2021-02-01,396.348388671875,399.1333312988281,412.5,368.0833435058594,370.0,13500,2021-02-01
2021-02-08,440.2400207519531,443.3333435058594,489.6666564941406,390.0,408.3333435058594,34800,2021-02-08
2021-02-15,433.619873046875,436.6666564941406,441.6666564941406,433.3333435058594,441.5,4500,2021-02-15
2021-02-22,424.0206604003906,427.0,450.0,408.6666564941406,410.3333435058594,14700,2021-02-22
2021-03-01,408.6288146972656,411.5,433.3333435058594,406.6666564941406,411.0,18300,2021-03-01
2021-03-08,402.5548095703125,405.3833312988281,465.79998779296875,385.6666564941406,385.6666564941406,23700,2021-03-08
2021-03-15,422.69659423828125,425.6666564941406,445.0,379.0,400.0,11700,2021-03-15
2021-03-22,400.5191345214844,403.3333435058594,420.0,376.70001220703125,409.6666564941406,18000,2021-03-22
2021-03-29,416.25848388671875,419.1833190917969,426.0,370.3333435058594,403.3333435058594,8400,2021-03-29
2021-04-05,569.415771484375,573.4166870117188,573.4166870117188,388.6666564941406,419.0,53100,2021-04-05
2021-04-12,706.7838745117188,711.75,751.6666870117188,573.4166870117188,573.4166870117188,54300,2021-04-12
2021-04-19,689.15771484375,694.0,709.6666870117188,651.7000122070312,651.7000122070312,5700,2021-04-19
2021-04-26,611.7019653320312,616.0,700.0,600.0,666.6666870117188,11400,2021-04-26
2021-05-03,652.0848999023438,656.6666870117188,683.3333129882812,630.0,630.0,13800,2021-05-03
2021-05-10,620.63916015625,625.0,663.0,617.3333129882812,633.3333129882812,4200,2021-05-10
2021-05-17,628.914306640625,633.3333129882812,667.0,625.0,633.3333129882812,8400,2021-05-17
2021-05-24,649.453369140625,654.0166625976562,681.6666870117188,623.3333129882812,632.0,9300,2021-05-24
2021-05-31,648.7747802734375,653.3333129882812,683.3333129882812,644.0,665.0,3600,2021-05-31
2021-06-07,731.5266723632812,736.6666870117188,783.3333129882812,683.3333129882812,700.0,62100,2021-06-07
2021-06-14,761.6483764648438,767.0,950.0,688.3333129882812,725.0,75600,2021-06-14
2021-06-21,812.0773315429688,817.7833251953125,841.6666870117188,766.6666870117188,783.3333129882812,15900,2021-06-21
2021-06-28,959.9218139648438,966.6666870117188,993.3333129882812,813.3333129882812,825.3499755859375,54300,2021-06-28
2021-07-05,815.4866943359375,821.2166748046875,999.9833374023438,810.3333129882812,966.6666870117188,43800,2021-07-05
