Date,Adj Close_VEEDOL.NS,Close_VEEDOL.NS,High_VEEDOL.NS,Low_VEEDOL.NS,Open_VEEDOL.NS,Volume_VEEDOL.NS,Date
2020-07-13,688.164794921875,839.6400146484375,850.6300048828125,832.0,847.5999755859375,15170,2020-07-13
2020-07-20,686.8616943359375,838.0499877929688,847.5,836.0,839.6099853515625,26215,2020-07-20
2020-07-27,693.2134399414062,845.7999877929688,848.0499877929688,828.0,836.6099853515625,33045,2020-07-27
2020-08-03,738.2173461914062,900.7100219726562,918.0,838.469970703125,845.7999877929688,52235,2020-08-03
2020-08-10,794.3678588867188,969.219970703125,985.7999877929688,900.2000122070312,902.010009765625,92095,2020-08-10
2020-08-17,782.0084228515625,954.1400146484375,1067.0,950.0,979.989990234375,229435,2020-08-17
2020-08-24,770.671630859375,914.4500122070312,981.5999755859375,910.0,969.5900268554688,55245,2020-08-24
2020-08-31,728.3475952148438,864.22998046875,913.2100219726562,850.0,912.5999755859375,36535,2020-08-31
2020-09-07,727.0161743164062,862.6500244140625,887.989990234375,840.0,887.989990234375,21265,2020-09-07
2020-09-14,726.097412109375,861.5599975585938,910.0,859.0700073242188,862.0,27610,2020-09-14
2020-09-21,707.8851928710938,839.9500122070312,879.1799926757812,825.0,864.030029296875,17725,2020-09-21
2020-09-28,716.58251953125,850.27001953125,868.0,840.2000122070312,868.0,8865,2020-09-28
2020-10-05,736.7921752929688,874.25,879.7899780273438,842.6199951171875,852.0,49930,2020-10-05
2020-10-12,730.6231079101562,866.9299926757812,905.469970703125,848.6500244140625,865.0,63180,2020-10-12
2020-10-19,732.9576416015625,869.7000122070312,885.0,846.6500244140625,870.6099853515625,42620,2020-10-19
2020-10-26,736.9017944335938,874.3800048828125,894.0,860.25,879.989990234375,25595,2020-10-26
2020-11-02,723.3245849609375,858.27001953125,880.0,838.510009765625,875.989990234375,26905,2020-11-02
2020-11-09,763.9210815429688,906.4400024414062,941.989990234375,859.6099853515625,862.5,94885,2020-11-09
2020-11-16,778.9223022460938,924.239990234375,940.0,893.3900146484375,893.3900146484375,79155,2020-11-16
2020-11-23,741.1578369140625,879.4299926757812,924.0,876.2000122070312,924.0,52885,2020-11-23
2020-11-30,764.6574096679688,887.6799926757812,892.9000244140625,874.760009765625,879.4299926757812,39065,2020-11-30
2020-12-07,758.5413818359375,880.5800170898438,908.0,879.0,908.0,55465,2020-12-07
2020-12-14,753.9069213867188,875.2000122070312,899.97998046875,856.1400146484375,892.0,82905,2020-12-14
2020-12-21,764.5970458984375,887.6099853515625,897.469970703125,841.010009765625,877.2000122070312,40395,2020-12-21
2020-12-28,759.5492553710938,881.75,899.989990234375,877.2000122070312,890.2000122070312,78110,2020-12-28
2021-01-04,780.6193237304688,906.2100219726562,945.5900268554688,876.0,884.010009765625,176845,2021-01-04
2021-01-11,761.185791015625,883.6500244140625,939.5999755859375,881.0,908.0,79880,2021-01-11
2021-01-18,753.3212890625,874.52001953125,885.5599975585938,870.4000244140625,880.25,34425,2021-01-18
2021-01-25,737.3334350585938,855.9600219726562,880.0,851.2999877929688,874.0,26555,2021-01-25
2021-02-01,755.009521484375,876.47998046875,888.8800048828125,850.0,855.3400268554688,37625,2021-02-01
2021-02-08,772.4874877929688,896.77001953125,919.7999877929688,870.0,880.8599853515625,111780,2021-02-08
2021-02-15,758.8859252929688,880.97998046875,908.0,867.0,899.0,97905,2021-02-15
2021-02-22,766.0786743164062,889.3300170898438,906.0,866.1199951171875,882.2100219726562,84195,2021-02-22
2021-03-01,804.4889526367188,933.9199829101562,1010.0,884.3099975585938,885.0499877929688,252135,2021-03-01
2021-03-08,782.1783447265625,908.02001953125,954.989990234375,900.5,940.4000244140625,36510,2021-03-08
2021-03-15,752.0376586914062,873.030029296875,919.5999755859375,856.4000244140625,919.5999755859375,45510,2021-03-15
