Date,Adj Close_VETO.NS,Close_VETO.NS,High_VETO.NS,Low_VETO.NS,Open_VETO.NS,Volume_VETO.NS,Date
2020-07-13,40.16146469116211,41.5,44.70000076293945,41.04999923706055,43.5,26108,2020-07-13
2020-07-20,44.516319274902344,46.0,47.849998474121094,40.20000076293945,43.400001525878906,103475,2020-07-20
2020-07-27,40.93565368652344,42.29999923706055,46.75,41.0,45.95000076293945,58516,2020-07-27
2020-08-03,41.66146469116211,43.04999923706055,44.25,40.20000076293945,43.75,91641,2020-08-03
2020-08-10,42.96792221069336,44.400001525878906,46.5,42.25,45.0,97022,2020-08-10
2020-08-17,46.451812744140625,48.0,50.0,44.150001525878906,45.400001525878906,263663,2020-08-17
2020-08-24,44.080833435058594,45.54999923706055,49.5,44.95000076293945,49.5,85362,2020-08-24
2020-08-31,40.742103576660156,42.099998474121094,46.70000076293945,41.0,46.70000076293945,43553,2020-08-31
2020-09-07,41.70985412597656,43.099998474121094,45.900001525878906,41.25,42.900001525878906,61291,2020-09-07
2020-09-14,45.19374084472656,46.70000076293945,50.400001525878906,43.0,44.400001525878906,202091,2020-09-14
2020-09-21,41.61307907104492,43.0,50.0,42.0,50.0,106884,2020-09-21
2020-09-28,41.70985412597656,43.099998474121094,44.849998474121094,41.900001525878906,44.849998474121094,40994,2020-09-28
2020-10-05,41.322757720947266,42.70000076293945,45.849998474121094,42.099998474121094,44.0,77886,2020-10-05
2020-10-12,40.50017166137695,41.849998474121094,44.79999923706055,41.04999923706055,44.79999923706055,26778,2020-10-12
2020-10-19,43.742122650146484,45.20000076293945,48.0,40.29999923706055,43.70000076293945,226328,2020-10-19
2020-10-26,40.50017166137695,41.849998474121094,46.599998474121094,41.599998474121094,45.20000076293945,48356,2020-10-26
2020-11-02,41.129207611083984,42.5,43.5,41.29999923706055,41.5,27704,2020-11-02
2020-11-09,45.967933654785156,47.5,48.0,42.099998474121094,42.099998474121094,224834,2020-11-09
2020-11-16,69.43577575683594,71.75,71.75,46.150001525878906,46.5,2304486,2020-11-16
2020-11-23,65.66156768798828,67.8499984741211,76.80000305175781,64.5,76.69999694824219,1326143,2020-11-23
2020-11-30,76.7906494140625,79.3499984741211,82.9000015258789,67.0,67.8499984741211,690941,2020-11-30
2020-12-07,80.95195007324219,83.6500015258789,86.69999694824219,76.5,76.5,879497,2020-12-07
2020-12-14,77.71000671386719,80.30000305175781,88.69999694824219,78.0999984741211,82.5,231205,2020-12-14
2020-12-21,76.98420715332031,79.55000305175781,85.4000015258789,71.5999984741211,80.0999984741211,1065016,2020-12-21
2020-12-28,76.9358139038086,79.5,83.94999694824219,77.0,83.80000305175781,154699,2020-12-28
2021-01-04,91.2100601196289,94.25,94.25,80.6500015258789,81.0,466587,2021-01-04
2021-01-11,88.21005249023438,91.1500015258789,101.0,89.0,96.69999694824219,353440,2021-01-11
2021-01-18,88.01649475097656,90.94999694824219,98.19999694824219,85.0,86.0,441189,2021-01-18
2021-01-25,87.2423095703125,90.1500015258789,94.80000305175781,88.0,92.5999984741211,74673,2021-01-25
2021-02-01,95.46814727783203,98.6500015258789,98.6500015258789,87.30000305175781,90.44999694824219,421714,2021-02-01
2021-02-08,109.83917236328125,113.5,119.0,97.5,103.4000015258789,724765,2021-02-08
2021-02-15,129.677978515625,134.0,144.0,112.25,112.80000305175781,823750,2021-02-15
2021-02-22,136.11346435546875,140.64999389648438,146.5,125.44999694824219,136.0,639470,2021-02-22
2021-03-01,144.14578247070312,148.9499969482422,153.4499969482422,139.0,141.0,616228,2021-03-01
2021-03-08,141.67800903320312,146.39999389648438,160.0,143.5500030517578,153.0,338366,2021-03-08
2021-03-15,121.06503295898438,125.0999984741211,146.39999389648438,118.80000305175781,146.39999389648438,422847,2021-03-15
2021-03-22,113.1295166015625,116.9000015258789,134.4499969482422,114.0,127.0,430378,2021-03-22
2021-03-29,117.91985321044922,121.8499984741211,121.8499984741211,112.44999694824219,116.9000015258789,221947,2021-03-29
