Date,Adj Close_VSTTILLERS.NS,Close_VSTTILLERS.NS,High_VSTTILLERS.NS,Low_VSTTILLERS.NS,Open_VSTTILLERS.NS,Volume_VSTTILLERS.NS,Date
2020-07-13,1348.618896484375,1389.050048828125,1499.0,1284.949951171875,1303.0,359236,2020-07-13
2020-07-20,1356.871337890625,1397.550048828125,1492.75,1375.550048828125,1390.050048828125,166873,2020-07-20
2020-07-27,1309.394775390625,1348.6500244140625,1458.0,1335.0,1415.949951171875,74279,2020-07-27
2020-08-03,1396.338134765625,1438.199951171875,1484.949951171875,1351.0,1384.0,148067,2020-08-03
2020-08-10,1549.9818115234375,1596.449951171875,1699.9000244140625,1448.050048828125,1477.4000244140625,554754,2020-08-10
2020-08-17,1565.8074951171875,1612.75,1684.9000244140625,1583.949951171875,1684.9000244140625,101246,2020-08-17
2020-08-24,1640.420654296875,1689.5999755859375,1758.199951171875,1624.0,1640.0,207718,2020-08-24
2020-08-31,1762.4619140625,1815.300048828125,1860.0,1559.949951171875,1730.0,291153,2020-08-31
2020-09-07,1839.2108154296875,1894.3499755859375,1937.949951171875,1764.800048828125,1838.0,193564,2020-09-07
2020-09-14,1802.8023681640625,1856.8499755859375,1924.0,1787.949951171875,1924.0,111069,2020-09-14
2020-09-21,1647.1197509765625,1696.5,1951.0,1650.0,1887.949951171875,188494,2020-09-21
2020-09-28,1607.50732421875,1655.699951171875,1739.0,1642.550048828125,1710.0,125381,2020-09-28
2020-10-05,1630.906005859375,1679.800048828125,1767.0,1655.0,1728.0,112898,2020-10-05
2020-10-12,1496.0972900390625,1540.949951171875,1699.0,1505.0,1699.0,116102,2020-10-12
2020-10-19,1536.0982666015625,1582.1500244140625,1627.75,1506.949951171875,1550.0,60188,2020-10-19
2020-10-26,1522.360107421875,1568.0,1599.949951171875,1509.0,1582.1500244140625,30653,2020-10-26
2020-11-02,1637.0711669921875,1686.1500244140625,1743.949951171875,1552.25,1561.9000244140625,73358,2020-11-02
2020-11-09,1887.755615234375,1944.3499755859375,1990.0,1686.1500244140625,1710.800048828125,299838,2020-11-09
2020-11-16,1878.8719482421875,1935.199951171875,2009.800048828125,1912.0,1957.800048828125,74249,2020-11-16
2020-11-23,1866.347412109375,1922.300048828125,1975.949951171875,1880.0,1935.199951171875,68224,2020-11-23
2020-11-30,1876.59033203125,1932.8499755859375,1975.0,1885.0,1922.300048828125,159869,2020-11-30
