Date,Adj Close_VTL.NS,Close_VTL.NS,High_VTL.NS,Low_VTL.NS,Open_VTL.NS,Volume_VTL.NS,Date
2020-07-13,125.36509704589844,130.9600067138672,133.0399932861328,128.6199951171875,130.32000732421875,356960,2020-07-13
2020-07-20,124.69498443603516,130.25999450683594,133.39999389648438,126.22000122070312,130.4199981689453,1592345,2020-07-20
2020-07-27,127.36579895019531,133.0500030517578,134.39999389648438,126.0999984741211,130.60000610351562,490670,2020-07-27
2020-08-03,130.48651123046875,136.30999755859375,139.19000244140625,130.27000427246094,133.0,386655,2020-08-03
2020-08-10,133.7029571533203,139.6699981689453,147.67999267578125,135.91000366210938,136.4199981689453,397395,2020-08-10
2020-08-17,146.66452026367188,153.2100067138672,155.19000244140625,136.05999755859375,140.3699951171875,1093295,2020-08-17
2020-08-24,169.93594360351562,177.52000427246094,195.3300018310547,154.0,156.9600067138672,2447815,2020-08-24
2020-08-31,147.25804138183594,153.8300018310547,180.0,152.0,177.52000427246094,696685,2020-08-31
2020-09-07,143.35232543945312,149.75,155.60000610351562,144.0,153.83999633789062,157860,2020-09-07
2020-09-14,150.5319061279297,157.25,164.3800048828125,151.57000732421875,151.75,581925,2020-09-14
2020-09-21,148.87582397460938,155.52000427246094,158.0,144.00999450683594,154.1199951171875,211660,2020-09-21
2020-09-28,154.9928436279297,161.91000366210938,168.5,155.25999450683594,155.25999450683594,623835,2020-09-28
2020-10-05,150.12986755371094,156.8300018310547,167.8000030517578,154.33999633789062,165.0,681775,2020-10-05
2020-10-12,145.57322692871094,152.07000732421875,160.66000366210938,150.39999389648438,157.6199951171875,355690,2020-10-12
2020-10-19,148.38760375976562,155.00999450683594,156.39999389648438,147.39999389648438,152.0,252395,2020-10-19
2020-10-26,146.46348571777344,153.0,162.39999389648438,150.2100067138672,159.0,825005,2020-10-26
2020-11-02,156.1128387451172,163.0800018310547,164.2100067138672,150.69000244140625,153.77000427246094,532525,2020-11-02
2020-11-09,165.3601531982422,172.74000549316406,175.0,165.07000732421875,165.1999969482422,1591480,2020-11-09
2020-11-16,158.59219360351562,165.6699981689453,174.99000549316406,164.99000549316406,172.13999938964844,683835,2020-11-16
2020-11-23,156.06497192382812,163.02999877929688,187.1999969482422,160.47999572753906,168.39999389648438,737585,2020-11-23
2020-11-30,176.5507049560547,184.42999267578125,185.77999877929688,163.02999877929688,163.02999877929688,3037585,2020-11-30
2020-12-07,187.09991455078125,195.4499969482422,199.6999969482422,184.42999267578125,186.97999572753906,1985815,2020-12-07
2020-12-14,196.58656311035156,205.36000061035156,209.1999969482422,194.8000030517578,207.99000549316406,1699345,2020-12-14
2020-12-21,198.8839874267578,207.75999450683594,211.99000549316406,194.00999450683594,211.99000549316406,947390,2020-12-21
2020-12-28,205.64239501953125,214.82000732421875,219.99000549316406,205.72000122070312,207.75999450683594,2831545,2020-12-28
2021-01-04,205.5753631591797,214.75,233.0,207.0500030517578,217.0800018310547,2950990,2021-01-04
2021-01-11,200.78900146484375,209.75,221.39999389648438,207.1999969482422,215.8300018310547,1323165,2021-01-11
2021-01-18,202.15789794921875,211.17999267578125,216.39999389648438,204.07000732421875,210.0,2224665,2021-01-18
2021-01-25,200.48265075683594,209.42999267578125,219.0,207.1999969482422,213.97999572753906,1625905,2021-01-25
2021-02-01,207.22189331054688,216.47000122070312,219.60000610351562,202.27000427246094,208.00999450683594,1420040,2021-02-01
2021-02-08,196.84500122070312,205.6300048828125,218.9199981689453,204.63999938964844,216.0,1725265,2021-02-08
2021-02-15,213.59738159179688,223.1300048828125,230.0,202.5,206.72000122070312,1217665,2021-02-15
2021-02-22,226.67376708984375,236.7899932861328,241.6300048828125,218.0,223.1300048828125,1403050,2021-02-22
2021-03-01,224.92196655273438,234.9600067138672,244.8800048828125,226.61000061035156,238.02000427246094,1388200,2021-03-01
2021-03-08,231.63247680664062,241.97000122070312,244.63999938964844,231.77999877929688,235.55999755859375,1130850,2021-03-08
2021-03-15,239.59701538085938,250.2899932861328,257.95001220703125,235.1699981689453,245.99000549316406,940470,2021-03-15
2021-03-22,231.73779296875,242.0800018310547,254.97999572753906,235.1300048828125,250.2899932861328,742935,2021-03-22
2021-03-29,242.9857940673828,253.8300018310547,269.2699890136719,240.00999450683594,242.0800018310547,1968330,2021-03-29
2021-04-05,242.0093536376953,252.80999755859375,260.0,238.0,253.00999450683594,2170665,2021-04-05
2021-04-12,227.5544891357422,237.7100067138672,250.1300048828125,232.0,250.00999450683594,850580,2021-04-12
2021-04-19,215.2247314453125,224.8300018310547,238.0,224.0,235.5399932861328,661285,2021-04-19
2021-04-26,224.3667449951172,234.3800048828125,249.75999450683594,225.33999633789062,225.9600067138672,846615,2021-04-26
2021-05-03,239.59701538085938,250.2899932861328,264.0,231.39999389648438,231.39999389648438,3230375,2021-05-03
2021-05-10,248.00193786621094,259.07000732421875,275.0,249.55999755859375,254.94000244140625,3532705,2021-05-10
2021-05-17,247.11167907714844,258.1400146484375,270.0,254.1999969482422,260.3699951171875,1038590,2021-05-17
2021-05-24,244.23025512695312,255.1300048828125,277.5400085449219,253.39999389648438,261.0,4001480,2021-05-24
2021-05-31,249.94520568847656,261.1000061035156,265.760009765625,252.24000549316406,259.5799865722656,2685600,2021-05-31
2021-06-07,275.0067443847656,287.2799987792969,294.0,260.8500061035156,264.79998779296875,5277240,2021-06-07
2021-06-14,261.3080749511719,272.9700012207031,295.45001220703125,269.6000061035156,288.7200012207031,2227575,2021-06-14
2021-06-21,265.5775451660156,277.42999267578125,283.8599853515625,268.6400146484375,270.20001220703125,1477935,2021-06-21
2021-06-28,264.8212890625,276.6400146484375,283.0,270.1600036621094,279.3999938964844,1858160,2021-06-28
2021-07-05,284.3880310058594,297.0799865722656,301.94000244140625,271.04998779296875,278.0299987792969,4844040,2021-07-05
2021-07-12,326.39337158203125,340.9599914550781,347.79998779296875,297.79998779296875,301.6000061035156,10699775,2021-07-12
2021-07-19,341.9204406738281,357.17999267578125,364.0,319.010009765625,338.57000732421875,3564680,2021-07-19
2021-07-26,365.6130676269531,381.92999267578125,401.989990234375,358.6600036621094,359.79998779296875,8894935,2021-07-26
2021-08-02,362.731689453125,378.9200134277344,407.94000244140625,370.3999938964844,384.0,8024320,2021-08-02
2021-08-09,345.2900695800781,360.70001220703125,383.0,334.2699890136719,382.0,4379135,2021-08-09
2021-08-16,335.0184631347656,349.9700012207031,369.45001220703125,347.20001220703125,363.489990234375,1439785,2021-08-16
2021-08-23,335.7460021972656,350.7300109863281,359.1099853515625,324.760009765625,354.0,1435285,2021-08-23
2021-08-30,369.3559875488281,385.8399963378906,392.3999938964844,350.0,353.6000061035156,2668510,2021-08-30
2021-09-06,372.5341796875,389.1600036621094,404.79998779296875,385.0,399.0,3169555,2021-09-06
2021-09-13,366.0438537597656,382.3800048828125,394.4200134277344,366.20001220703125,388.79998779296875,1788680,2021-09-13
2021-09-20,347.9868469238281,360.1499938964844,388.0,350.489990234375,377.760009765625,1631140,2021-09-20
2021-09-27,355.2335205078125,367.6499938964844,375.0,354.3500061035156,358.0,1075280,2021-09-27
2021-10-04,375.176513671875,388.2900085449219,395.0,366.0,369.3999938964844,1690060,2021-10-04
