Date,Adj Close_WEL.NS,Close_WEL.NS,High_WEL.NS,Low_WEL.NS,Open_WEL.NS,Volume_WEL.NS,Date
2020-07-13,3.748023748397827,3.75,3.75,3.6875,3.6875,25600,2020-07-13
2020-07-20,3.32637095451355,3.328125,3.6875,3.328125,3.5625,230400,2020-07-20
2020-07-27,3.1608331203460693,3.1624999046325684,3.328125,3.0062499046325684,3.328125,1996800,2020-07-27
2020-08-03,3.1233530044555664,3.125,3.1624999046325684,3.125,3.15625,1100800,2020-08-03
2020-08-10,3.1608331203460693,3.1624999046325684,3.1624999046325684,3.125,3.125,1152000,2020-08-10
2020-08-17,3.1608331203460693,3.1624999046325684,3.1624999046325684,3.1624999046325684,3.1624999046325684,0,2020-08-17
2020-08-24,3.1608331203460693,3.1624999046325684,3.1624999046325684,3.1624999046325684,3.1624999046325684,0,2020-08-24
2020-08-31,3.307631015777588,3.309375047683716,3.309375047683716,3.1624999046325684,3.1624999046325684,51200,2020-08-31
2020-09-07,2.9921722412109375,2.9937500953674316,3.309375047683716,2.9937500953674316,3.309375047683716,256000,2020-09-07
2020-09-14,2.9921722412109375,2.9937500953674316,2.9937500953674316,2.9937500953674316,2.9937500953674316,0,2020-09-14
2020-09-21,2.845374584197998,2.846874952316284,2.9937500953674316,2.846874952316284,2.9937500953674316,51200,2020-09-21
2020-09-28,2.845374584197998,2.846874952316284,2.846874952316284,2.846874952316284,2.846874952316284,0,2020-09-28
2020-10-05,2.845374584197998,2.846874952316284,2.846874952316284,2.846874952316284,2.846874952316284,0,2020-10-05
2020-10-12,2.845374584197998,2.846874952316284,2.846874952316284,2.846874952316284,2.846874952316284,0,2020-10-12
2020-10-19,2.845374584197998,2.846874952316284,2.846874952316284,2.846874952316284,2.846874952316284,0,2020-10-19
2020-10-26,2.7048237323760986,2.706249952316284,2.706249952316284,2.706249952316284,2.706249952316284,25600,2020-10-26
2020-11-02,2.8110177516937256,2.8125,2.840625047683716,2.8125,2.840625047683716,76800,2020-11-02
2020-11-09,2.8110177516937256,2.8125,2.8125,2.8125,2.8125,0,2020-11-09
2020-11-16,2.951568603515625,2.953125,2.953125,2.8125,2.8125,51200,2020-11-16
2020-11-23,2.951568603515625,2.953125,2.953125,2.953125,2.953125,0,2020-11-23
2020-11-30,2.951568603515625,2.953125,2.953125,2.953125,2.953125,0,2020-11-30
2020-12-07,2.951568603515625,2.953125,2.953125,2.953125,2.953125,0,2020-12-07
2020-12-14,2.839128017425537,2.840625047683716,2.9437499046325684,2.668750047683716,2.668750047683716,128000,2020-12-14
2020-12-21,3.445058584213257,3.4468750953674316,3.4468750953674316,3.128124952316284,3.128124952316284,1203200,2020-12-21
2020-12-28,3.445058584213257,3.4468750953674316,3.4468750953674316,3.4468750953674316,3.4468750953674316,25600,2020-12-28
2021-01-04,3.263903856277466,3.265625,3.4468750953674316,3.112499952316284,3.4468750953674316,256000,2021-01-04
2021-01-11,3.5637457370758057,3.565624952316284,3.8499999046325684,3.265625,3.265625,2124800,2021-01-11
2021-01-18,3.741776943206787,3.7437500953674316,3.7437500953674316,3.565624952316284,3.565624952316284,179200,2021-01-18
2021-01-25,3.741776943206787,3.7437500953674316,3.7437500953674316,3.7437500953674316,3.7437500953674316,0,2021-01-25
2021-02-01,3.591856002807617,3.59375,3.75,3.59375,3.7437500953674316,384000,2021-02-01
2021-02-08,3.591856002807617,3.59375,3.59375,3.59375,3.59375,0,2021-02-08
2021-02-15,3.591856002807617,3.59375,3.59375,3.59375,3.59375,0,2021-02-15
2021-02-22,3.997891902923584,4.0,4.0,3.59375,3.59375,76800,2021-02-22
2021-03-01,3.841724157333374,3.84375,4.0,3.84375,4.0,25600,2021-03-01
