Date,Adj Close_WIPL.NS,Close_WIPL.NS,High_WIPL.NS,Low_WIPL.NS,Open_WIPL.NS,Volume_WIPL.NS,Date
2020-07-13,47.24728775024414,49.0,50.0,49.0,50.0,215,2020-07-13
2020-07-20,47.24728775024414,49.0,49.0,49.0,49.0,421,2020-07-20
2020-07-27,45.800941467285156,47.5,51.0,47.5,49.0,13320,2020-07-27
2020-08-03,48.211517333984375,50.0,51.0,48.5,49.5,448,2020-08-03
2020-08-10,48.211517333984375,50.0,50.0,49.900001525878906,50.0,371,2020-08-10
2020-08-17,48.211517333984375,50.0,50.0,48.0,50.0,1276,2020-08-17
2020-08-24,46.572322845458984,48.29999923706055,50.0,48.0,49.0,2343,2020-08-24
2020-08-31,48.211517333984375,50.0,50.0,48.0,49.0,1619,2020-08-31
2020-09-07,48.211517333984375,50.0,51.0,49.0,50.0,537,2020-09-07
2020-09-14,47.24728775024414,49.0,50.0,47.5,50.0,476,2020-09-14
2020-09-21,46.28305435180664,48.0,49.0,48.0,49.0,37,2020-09-21
2020-09-28,46.28305435180664,48.0,48.0,48.0,48.0,8,2020-09-28
2020-10-05,47.24728775024414,49.0,50.400001525878906,45.599998474121094,48.0,1605,2020-10-05
2020-10-12,45.318824768066406,47.0,49.349998474121094,47.0,49.0,401,2020-10-12
2020-10-19,45.318824768066406,47.0,47.5,47.0,47.5,135,2020-10-19
2020-10-26,47.72940444946289,49.5,50.0,44.650001525878906,44.650001525878906,436,2020-10-26
2020-11-02,47.72940444946289,49.5,49.5,48.0,48.0,652,2020-11-02
2020-11-09,47.92224884033203,49.70000076293945,49.70000076293945,48.0,48.0,1008,2020-11-09
2020-11-16,47.24728775024414,49.0,50.0,48.54999923706055,49.70000076293945,188,2020-11-16
2020-11-23,48.211517333984375,50.0,50.0,48.5,48.5,117,2020-11-23
2020-11-30,47.24728775024414,49.0,50.0,48.0,50.0,384,2020-11-30
2020-12-07,47.970462799072266,49.75,49.75,46.0,49.0,13449,2020-12-07
2020-12-14,47.10265350341797,48.849998474121094,51.0,48.75,50.0,2707,2020-12-14
2020-12-21,48.211517333984375,50.0,50.0,47.70000076293945,48.0,3788,2020-12-21
2020-12-28,48.54899597167969,50.349998474121094,51.5,48.0,49.5,1935,2020-12-28
2021-01-04,50.139976501464844,52.0,54.5,49.5,52.54999923706055,12724,2021-01-04
2021-01-11,50.814937591552734,52.70000076293945,53.5,49.0,49.5,7068,2021-01-11
