Date,Adj Close_WONDERLA.NS,Close_WONDERLA.NS,High_WONDERLA.NS,Low_WONDERLA.NS,Open_WONDERLA.NS,Volume_WONDERLA.NS,Date
2020-07-13,139.10296630859375,140.10000610351562,152.0,133.85000610351562,135.0500030517578,258552,2020-07-13
2020-07-20,131.3584747314453,132.3000030517578,142.0,130.14999389648438,142.0,286480,2020-07-20
2020-07-27,135.67750549316406,136.64999389648438,138.0,129.60000610351562,131.0,232378,2020-07-27
2020-08-03,140.24478149414062,141.25,143.0,133.25,139.0,210244,2020-08-03
2020-08-10,164.12362670898438,165.3000030517578,179.0,138.14999389648438,141.10000610351562,1303301,2020-08-10
2020-08-17,180.2083282470703,181.5,189.0,162.10000610351562,163.5,481157,2020-08-17
2020-08-24,181.9955291748047,183.3000030517578,193.89999389648438,172.0500030517578,187.5,292655,2020-08-24
2020-08-31,183.58413696289062,184.89999389648438,189.6999969482422,166.0,183.5,296845,2020-08-31
2020-09-07,171.32203674316406,172.5500030517578,185.75,170.0,184.89999389648438,193232,2020-09-07
2020-09-14,165.0668487548828,166.25,176.5500030517578,164.89999389648438,176.5500030517578,195237,2020-09-14
2020-09-21,150.02467346191406,151.10000610351562,165.35000610351562,135.0500030517578,162.25,633722,2020-09-21
2020-09-28,164.17327880859375,165.35000610351562,188.0,149.0,152.0,653009,2020-09-28
2020-10-05,159.4074249267578,160.5500030517578,168.0,155.5,167.89999389648438,197382,2020-10-05
2020-10-12,152.1593780517578,153.25,165.64999389648438,149.0,165.64999389648438,162851,2020-10-12
2020-10-19,154.34371948242188,155.4499969482422,170.0,151.5,154.0,117633,2020-10-19
2020-10-26,156.77627563476562,157.89999389648438,164.6999969482422,150.1999969482422,157.0,351822,2020-10-26
2020-11-02,161.0953369140625,162.25,166.6999969482422,155.3000030517578,158.0500030517578,173399,2020-11-02
2020-11-09,175.14462280273438,176.39999389648438,183.75,162.10000610351562,163.0,742022,2020-11-09
2020-11-16,182.24374389648438,183.5500030517578,199.9499969482422,170.25,173.4499969482422,667333,2020-11-16
2020-11-23,179.81118774414062,181.10000610351562,185.60000610351562,174.5500030517578,183.5500030517578,447632,2020-11-23
2020-11-30,206.66867065429688,208.14999389648438,217.75,179.25,181.10000610351562,1160138,2020-11-30
2020-12-07,211.48416137695312,213.0,227.0,195.0,212.89999389648438,2363466,2020-12-07
2020-12-14,217.0443115234375,218.60000610351562,224.0,205.64999389648438,215.5,1055503,2020-12-14
2020-12-21,201.60496520996094,203.0500030517578,220.0,181.0,220.0,851190,2020-12-21
2020-12-28,203.14395141601562,204.60000610351562,211.0,203.14999389648438,205.0,538884,2020-12-28
2021-01-04,210.68984985351562,212.1999969482422,235.0,206.0500030517578,206.0500030517578,692812,2021-01-04
2021-01-11,203.98788452148438,205.4499969482422,214.39999389648438,202.60000610351562,212.1999969482422,290730,2021-01-11
2021-01-18,198.5270233154297,199.9499969482422,208.0,197.89999389648438,206.5,258552,2021-01-18
2021-01-25,199.4702606201172,200.89999389648438,204.3000030517578,193.0,201.0,188515,2021-01-25
2021-02-01,205.4772186279297,206.9499969482422,211.89999389648438,185.1999969482422,201.0,454699,2021-02-01
2021-02-08,213.37062072753906,214.89999389648438,219.89999389648438,204.0,209.0,600819,2021-02-08
2021-02-15,201.9524688720703,203.39999389648438,217.89999389648438,200.60000610351562,217.89999389648438,322092,2021-02-15
2021-02-22,199.5198974609375,200.9499969482422,206.0500030517578,194.5500030517578,206.0,239736,2021-02-22
2021-03-01,213.76779174804688,215.3000030517578,221.3000030517578,201.0,204.0,765047,2021-03-01
2021-03-08,215.85284423828125,217.39999389648438,234.35000610351562,213.3000030517578,219.0,1191292,2021-03-08
2021-03-15,198.62632751464844,200.0500030517578,221.0,192.1999969482422,219.0,449345,2021-03-15
2021-03-22,193.8604736328125,195.25,205.0,192.5,200.3000030517578,307344,2021-03-22
2021-03-29,201.1085205078125,202.5500030517578,204.39999389648438,191.10000610351562,195.25,149745,2021-03-29
2021-04-05,193.11581420898438,194.5,201.0,190.0,197.75,218501,2021-04-05
2021-04-12,184.13021850585938,185.4499969482422,198.0,180.0500030517578,194.0,212539,2021-04-12
2021-04-19,179.6125946044922,180.89999389648438,186.0,162.0,180.10000610351562,189038,2021-04-19
2021-04-26,176.83253479003906,178.10000610351562,185.25,174.89999389648438,180.89999389648438,297428,2021-04-26
2021-05-03,178.57008361816406,179.85000610351562,185.9499969482422,174.64999389648438,175.0500030517578,181941,2021-05-03
2021-05-10,185.2720489501953,186.60000610351562,189.39999389648438,180.0,181.0,162094,2021-05-10
2021-05-17,192.32150268554688,193.6999969482422,199.0,186.35000610351562,188.89999389648438,254068,2021-05-17
2021-05-24,204.08717346191406,205.5500030517578,218.89999389648438,196.60000610351562,196.85000610351562,768487,2021-05-24
2021-05-31,210.34234619140625,211.85000610351562,216.0,203.39999389648438,207.6999969482422,433082,2021-05-31
2021-06-07,211.08700561523438,212.60000610351562,218.0,198.0,214.39999389648438,1050803,2021-06-07
2021-06-14,215.5549774169922,217.10000610351562,232.39999389648438,209.25,216.5,1642456,2021-06-14
2021-06-21,216.25,217.8000030517578,231.60000610351562,210.14999389648438,210.14999389648438,1002295,2021-06-21
2021-06-28,212.37774658203125,213.89999389648438,224.0,211.5500030517578,217.14999389648438,386357,2021-06-28
2021-07-05,253.3341827392578,255.14999389648438,270.0,218.0,221.0,8067233,2021-07-05
2021-07-12,238.14308166503906,239.85000610351562,262.45001220703125,237.6999969482422,256.0,978781,2021-07-12
2021-07-19,248.02227783203125,249.8000030517578,261.0,236.9499969482422,239.85000610351562,826545,2021-07-19
2021-07-26,242.90890502929688,244.64999389648438,253.89999389648438,239.3000030517578,253.0,753046,2021-07-26
2021-08-02,234.1715545654297,235.85000610351562,248.5500030517578,235.10000610351562,246.0,977212,2021-08-02
2021-08-09,234.56869506835938,236.25,237.0,220.0500030517578,235.0,776758,2021-08-09
2021-08-16,221.8101348876953,223.39999389648438,235.9499969482422,222.39999389648438,235.9499969482422,352834,2021-08-16
2021-08-23,230.6964569091797,232.35000610351562,238.8000030517578,217.25,223.39999389648438,689877,2021-08-23
2021-08-30,232.93043518066406,234.60000610351562,237.0,227.3000030517578,229.39999389648438,660217,2021-08-30
2021-09-06,231.19290161132812,232.85000610351562,242.3000030517578,223.35000610351562,235.8000030517578,1392534,2021-09-06
2021-09-13,225.6327362060547,227.25,234.6999969482422,226.35000610351562,233.89999389648438,400594,2021-09-13
2021-09-20,227.6681671142578,229.3000030517578,239.1999969482422,221.25,228.75,802839,2021-09-20
2021-09-27,236.75303649902344,238.4499969482422,248.60000610351562,228.89999389648438,232.8000030517578,1263858,2021-09-27
2021-10-04,248.36976623535156,250.14999389648438,259.29998779296875,238.4499969482422,241.39999389648438,978381,2021-10-04
2021-10-11,244.59683227539062,246.35000610351562,254.0,244.14999389648438,251.4499969482422,353416,2021-10-11
2021-10-18,235.26370239257812,236.9499969482422,251.0,231.0,247.60000610351562,507610,2021-10-18
2021-10-25,227.41995239257812,229.0500030517578,241.0,225.64999389648438,241.0,447676,2021-10-25
2021-11-01,233.1786651611328,234.85000610351562,238.5,225.35000610351562,230.1999969482422,279127,2021-11-01
2021-11-08,241.32029724121094,243.0500030517578,254.4499969482422,235.0,236.0500030517578,616328,2021-11-08
2021-11-15,231.7886199951172,233.4499969482422,245.6999969482422,232.25,244.9499969482422,212267,2021-11-15
2021-11-22,213.07278442382812,214.60000610351562,233.0,212.0500030517578,228.35000610351562,548254,2021-11-22
2021-11-29,204.18646240234375,205.64999389648438,215.5500030517578,196.9499969482422,210.0,466066,2021-11-29
