Date,Adj Close_WORTH.NS,Close_WORTH.NS,High_WORTH.NS,Low_WORTH.NS,Open_WORTH.NS,Volume_WORTH.NS,Date
2020-07-13,38.161399841308594,46.0,47.099998474121094,46.0,46.599998474121094,4500,2020-07-13
2020-07-20,40.4842643737793,48.79999923706055,50.0,45.0,45.0,33000,2020-07-20
2020-07-27,36.0874137878418,43.5,48.349998474121094,43.0,48.349998474121094,28500,2020-07-27
2020-08-03,38.49324417114258,46.400001525878906,52.0,43.5,43.5,96979,2020-08-03
2020-08-10,37.788082122802734,45.54999923706055,51.45000076293945,43.25,51.45000076293945,31338,2020-08-10
2020-08-17,36.50221252441406,44.0,48.0,41.099998474121094,48.0,54941,2020-08-17
2020-08-24,35.257816314697266,42.5,45.5,41.5,44.0,65512,2020-08-24
2020-08-31,40.0694694519043,48.29999923706055,57.75,37.849998474121094,42.54999923706055,466831,2020-08-31
2020-09-07,37.33180236816406,45.0,51.70000076293945,42.70000076293945,48.29999923706055,260928,2020-09-07
2020-09-14,36.12888717651367,43.54999923706055,47.75,43.29999923706055,45.25,166311,2020-09-14
2020-09-21,35.75556564331055,43.099998474121094,44.900001525878906,38.400001525878906,44.150001525878906,100199,2020-09-21
2020-09-28,37.55168533325195,43.900001525878906,45.25,41.650001525878906,41.650001525878906,43047,2020-09-28
2020-10-05,36.0975227355957,42.20000076293945,45.849998474121094,41.0,42.70000076293945,110718,2020-10-05
2020-10-12,35.49874496459961,41.5,44.900001525878906,40.54999923706055,41.95000076293945,94982,2020-10-12
2020-10-19,35.028282165527344,40.95000076293945,44.900001525878906,40.0,42.599998474121094,114042,2020-10-19
2020-10-26,34.985511779785156,40.900001525878906,42.5,39.5,40.75,17841,2020-10-26
2020-11-02,34.38673782348633,40.20000076293945,45.849998474121094,39.849998474121094,40.79999923706055,119035,2020-11-02
2020-11-09,35.071048736572266,41.0,41.849998474121094,39.20000076293945,39.20000076293945,40047,2020-11-09
2020-11-16,37.59445571899414,43.95000076293945,46.0,39.349998474121094,40.75,281894,2020-11-16
2020-11-23,41.629398345947266,47.5,48.79999923706055,43.29999923706055,43.95000076293945,219452,2020-11-23
2020-11-30,41.235015869140625,47.04999923706055,48.900001525878906,45.29999923706055,47.5,81076,2020-11-30
2020-12-07,40.31479263305664,46.0,48.45000076293945,44.599998474121094,47.25,57929,2020-12-07
2020-12-14,42.94401168823242,49.0,52.0,44.900001525878906,46.400001525878906,213942,2020-12-14
2020-12-21,41.235015869140625,47.04999923706055,50.29999923706055,43.099998474121094,48.0,82892,2020-12-21
2020-12-28,47.45751953125,54.150001525878906,56.54999923706055,47.25,48.849998474121094,165528,2020-12-28
2021-01-04,50.919334411621094,58.099998474121094,60.900001525878906,51.400001525878906,55.45000076293945,292663,2021-01-04
2021-01-11,52.84742736816406,60.29999923706055,69.25,54.25,61.70000076293945,942117,2021-01-11
2021-01-18,52.146305084228516,59.5,65.8499984741211,55.29999923706055,62.0,330070,2021-01-18
2021-01-25,52.23394012451172,59.599998474121094,61.900001525878906,56.20000076293945,60.900001525878906,89533,2021-01-25
2021-02-01,54.95081329345703,62.70000076293945,65.0,58.099998474121094,59.400001525878906,87411,2021-02-01
2021-02-08,53.81147766113281,61.400001525878906,66.6500015258789,60.79999923706055,64.30000305175781,168782,2021-02-08
2021-02-15,52.01483917236328,59.349998474121094,61.70000076293945,57.29999923706055,60.5,60935,2021-02-15
2021-02-22,50.48112106323242,57.599998474121094,62.20000076293945,56.04999923706055,62.20000076293945,60998,2021-02-22
2021-03-01,49.73617935180664,56.75,60.75,55.70000076293945,59.0,91960,2021-03-01
2021-03-08,49.25415802001953,56.20000076293945,58.70000076293945,55.900001525878906,56.099998474121094,47832,2021-03-08
2021-03-15,45.66088104248047,52.099998474121094,57.25,49.900001525878906,57.25,95131,2021-03-15
2021-03-22,43.075477600097656,49.150001525878906,53.0,48.900001525878906,50.849998474121094,90884,2021-03-22
2021-03-29,45.441776275634766,51.849998474121094,52.79999923706055,47.150001525878906,49.150001525878906,30226,2021-03-29
2021-04-05,44.083343505859375,50.29999923706055,52.70000076293945,48.95000076293945,51.0,38141,2021-04-05
2021-04-12,42.11143112182617,48.04999923706055,50.0,47.04999923706055,50.0,24179,2021-04-12
2021-04-19,41.32265853881836,47.150001525878906,49.400001525878906,46.400001525878906,48.099998474121094,29870,2021-04-19
2021-04-26,49.38561248779297,56.349998474121094,60.75,45.54999923706055,47.75,344920,2021-04-26
2021-05-03,48.37774658203125,55.20000076293945,60.70000076293945,53.349998474121094,56.349998474121094,104084,2021-05-03
2021-05-10,51.31371307373047,58.54999923706055,60.0,54.150001525878906,57.20000076293945,63965,2021-05-10
2021-05-17,55.082271575927734,62.849998474121094,68.3499984741211,58.54999923706055,59.0,319304,2021-05-17
2021-05-24,55.69575500488281,63.54999923706055,69.4000015258789,60.099998474121094,61.25,325521,2021-05-24
2021-05-31,57.799137115478516,65.94999694824219,68.4000015258789,60.54999923706055,64.44999694824219,133177,2021-05-31
2021-06-07,68.09693145751953,77.69999694824219,84.69999694824219,61.75,66.0,1053671,2021-06-07
2021-06-14,65.16096496582031,74.3499984741211,84.8499984741211,73.30000305175781,79.0,348631,2021-06-14
2021-06-21,72.69807434082031,82.94999694824219,89.0,72.75,75.0,1005291,2021-06-21
2021-06-28,70.94525909423828,80.94999694824219,83.05000305175781,77.25,82.5999984741211,201591,2021-06-28
2021-07-05,74.88909912109375,85.44999694824219,88.4000015258789,79.05000305175781,83.0,388346,2021-07-05
2021-07-12,95.35324096679688,108.80000305175781,119.44999694824219,85.5,87.9000015258789,1930869,2021-07-12
2021-07-19,90.79591369628906,103.5999984741211,114.3499984741211,103.0,110.94999694824219,271632,2021-07-19
2021-07-26,95.1779556274414,108.5999984741211,118.69999694824219,100.94999694824219,103.6500015258789,500573,2021-07-26
2021-08-02,90.27007293701172,103.0,112.0,102.0,111.94999694824219,212569,2021-08-02
2021-08-09,90.53298950195312,103.30000305175781,108.0,85.80000305175781,103.5,270198,2021-08-09
2021-08-16,83.60936737060547,95.4000015258789,107.0,94.0,107.0,130887,2021-08-16
2021-08-23,82.55767059326172,94.19999694824219,99.0,88.05000305175781,99.0,107936,2021-08-23
2021-08-30,81.06777954101562,92.5,98.05000305175781,91.30000305175781,96.0,141763,2021-08-30
2021-09-06,78.96440124511719,90.0999984741211,94.19999694824219,86.0999984741211,93.9000015258789,161043,2021-09-06
2021-09-13,77.08012390136719,87.94999694824219,92.0999984741211,87.55000305175781,92.0999984741211,138997,2021-09-13
2021-09-20,77.81863403320312,87.80000305175781,89.80000305175781,85.5,87.8499984741211,96152,2021-09-20
2021-09-27,74.8051528930664,84.4000015258789,89.44999694824219,83.5,88.0,95818,2021-09-27
2021-10-04,85.21937561035156,96.1500015258789,102.9000015258789,84.80000305175781,85.75,683805,2021-10-04
2021-10-11,79.94578552246094,90.19999694824219,96.5,88.5,96.5,108389,2021-10-11
2021-10-18,83.62401580810547,94.3499984741211,103.5,85.80000305175781,91.94999694824219,442247,2021-10-18
2021-10-25,81.76274108886719,92.25,96.5999984741211,90.0,96.4000015258789,108623,2021-10-25
2021-11-01,84.11148071289062,94.9000015258789,97.9000015258789,91.5999984741211,94.0,50366,2021-11-01
2021-11-08,83.80127716064453,94.55000305175781,97.0,92.80000305175781,97.0,63802,2021-11-08
2021-11-15,79.23674011230469,89.4000015258789,95.94999694824219,88.5,95.94999694824219,80074,2021-11-15
2021-11-22,78.66063690185547,88.75,93.4000015258789,88.0,90.0,90542,2021-11-22
2021-11-29,78.35041809082031,88.4000015258789,91.30000305175781,86.44999694824219,88.30000305175781,93034,2021-11-29
2021-12-06,79.0151596069336,89.1500015258789,91.0,86.4000015258789,88.30000305175781,55494,2021-12-06
2021-12-13,80.56621551513672,90.9000015258789,96.0,88.5999984741211,89.05000305175781,143303,2021-12-13
2021-12-20,81.94000244140625,92.44999694824219,94.44999694824219,88.5999984741211,90.0,79378,2021-12-20
2021-12-27,82.60474395751953,93.19999694824219,97.0,90.69999694824219,94.5,115882,2021-12-27
2022-01-03,90.0498046875,101.5999984741211,104.69999694824219,92.69999694824219,95.0,344520,2022-01-03
2022-01-10,93.06327819824219,105.0,107.55000305175781,99.55000305175781,103.80000305175781,264739,2022-01-10
2022-01-17,111.89751434326172,126.25,128.39999389648438,102.44999694824219,104.94999694824219,915391,2022-01-17
2022-01-24,100.72991943359375,113.6500015258789,132.5,107.0,129.75,813706,2022-01-24
2022-01-31,102.36961364746094,115.5,118.25,109.30000305175781,113.5999984741211,205252,2022-01-31
2022-02-07,106.40235137939453,120.05000305175781,130.0,111.55000305175781,112.05000305175781,444648,2022-02-07
2022-02-14,96.87445068359375,109.30000305175781,117.0,103.19999694824219,117.0,173379,2022-02-14
2022-02-21,90.00548553466797,101.55000305175781,112.9000015258789,93.05000305175781,109.30000305175781,182603,2022-02-21
2022-02-28,95.89949798583984,108.19999694824219,109.8499984741211,99.0,102.9000015258789,57217,2022-02-28
2022-03-07,104.23087310791016,117.5999984741211,119.9000015258789,104.0,104.30000305175781,95713,2022-03-07
2022-03-14,98.8243408203125,111.5,122.0,110.5,119.3499984741211,97613,2022-03-14
2022-03-21,94.17118835449219,106.25,114.0,105.5999984741211,112.80000305175781,70556,2022-03-21
2022-03-28,94.48138427734375,106.5999984741211,109.9000015258789,101.0,106.25,68828,2022-03-28
2022-04-04,97.3619155883789,109.8499984741211,112.0,106.0,109.5,62687,2022-04-04
2022-04-11,97.05170440673828,109.5,112.9000015258789,106.30000305175781,112.0,35269,2022-04-11
2022-04-18,103.43318939208984,116.69999694824219,122.0,109.69999694824219,110.5,240350,2022-04-18
2022-04-25,93.94960021972656,106.0,116.8499984741211,105.1500015258789,116.8499984741211,74820,2022-04-25
2022-05-02,101.21739196777344,114.19999694824219,128.89999389648438,103.0,104.19999694824219,477681,2022-05-02
2022-05-09,92.5758056640625,104.44999694824219,114.55000305175781,101.0,112.8499984741211,100347,2022-05-09
2022-05-16,96.78581237792969,109.19999694824219,110.94999694824219,104.0999984741211,105.0,79522,2022-05-16
2022-05-23,90.89180755615234,102.55000305175781,110.8499984741211,95.0,107.6500015258789,72997,2022-05-23
2022-05-30,95.76655578613281,108.05000305175781,111.0,99.1500015258789,104.55000305175781,86466,2022-05-30
2022-06-06,90.84748840332031,102.5,107.0999984741211,100.0,107.0,57554,2022-06-06
2022-06-13,84.51032257080078,95.3499984741211,103.94999694824219,94.5999984741211,103.80000305175781,50081,2022-06-13
2022-06-20,84.46600341796875,95.30000305175781,97.5999984741211,87.6500015258789,96.05000305175781,56698,2022-06-20
2022-06-27,86.10569763183594,97.1500015258789,99.5,94.5999984741211,97.0,26505,2022-06-27
2022-07-04,92.22128295898438,104.05000305175781,109.75,95.0,98.94999694824219,76120,2022-07-04
2022-07-11,90.09412384033203,101.6500015258789,107.19999694824219,100.25,106.1500015258789,29005,2022-07-11
2022-07-18,90.0498046875,101.5999984741211,105.0,100.75,104.0,41746,2022-07-18
2022-07-25,88.94190216064453,100.3499984741211,103.0,96.30000305175781,101.19999694824219,38832,2022-07-25
2022-08-01,87.96695709228516,99.25,103.0,97.8499984741211,101.94999694824219,42578,2022-08-01
2022-08-08,92.22128295898438,104.05000305175781,106.9000015258789,97.05000305175781,99.0999984741211,46278,2022-08-08
2022-08-15,90.2270736694336,101.80000305175781,108.0,100.80000305175781,104.05000305175781,54136,2022-08-15
2022-08-22,92.04402160644531,103.8499984741211,105.9000015258789,97.55000305175781,101.80000305175781,65471,2022-08-22
2022-08-29,89.07485961914062,100.5,103.8499984741211,98.55000305175781,98.55000305175781,54094,2022-08-29
2022-09-05,89.42938232421875,100.9000015258789,105.8499984741211,100.1500015258789,101.8499984741211,98289,2022-09-05
2022-09-12,111.45436096191406,125.75,131.10000610351562,100.19999694824219,100.19999694824219,1010881,2022-09-12
2022-09-19,111.18939971923828,124.25,150.89999389648438,122.0,132.0,1509791,2022-09-19
2022-09-26,118.48271179199219,132.39999389648438,145.0,114.1500015258789,120.0999984741211,530014,2022-09-26
2022-10-03,113.87405395507812,127.25,134.6999969482422,120.80000305175781,134.0,118760,2022-10-03
2022-10-10,103.53813934326172,115.69999694824219,128.35000610351562,113.94999694824219,128.35000610351562,111357,2022-10-10
2022-10-17,104.83572387695312,117.1500015258789,126.0,113.55000305175781,115.69999694824219,142326,2022-10-17
2022-10-24,103.76185607910156,115.94999694824219,121.69999694824219,115.0999984741211,121.0,39726,2022-10-24
2022-10-31,103.67237091064453,115.8499984741211,118.9000015258789,112.8499984741211,118.75,53930,2022-10-31
2022-11-07,99.86911010742188,111.5999984741211,118.0999984741211,110.0999984741211,118.0,55719,2022-11-07
2022-11-14,97.094970703125,108.5,115.9000015258789,105.0999984741211,111.5999984741211,77571,2022-11-14
2022-11-21,97.45292663574219,108.9000015258789,113.3499984741211,106.0999984741211,109.94999694824219,46471,2022-11-21
2022-11-28,101.3009262084961,113.19999694824219,116.5,109.05000305175781,110.69999694824219,61563,2022-11-28
2022-12-05,97.72138977050781,109.19999694824219,116.0,104.69999694824219,116.0,78077,2022-12-05
2022-12-12,102.4195327758789,114.44999694824219,125.9000015258789,107.19999694824219,110.3499984741211,269737,2022-12-12
2022-12-19,89.30948638916016,99.80000305175781,117.75,99.0,114.44999694824219,73735,2022-12-19
2022-12-26,99.15321350097656,110.80000305175781,112.5,99.25,99.80000305175781,77310,2022-12-26
2023-01-02,97.54241180419922,109.0,115.8499984741211,107.55000305175781,115.80000305175781,47235,2023-01-02
2023-01-09,96.55804443359375,107.9000015258789,112.75,106.0,112.75,28948,2023-01-09
2023-01-16,96.91600036621094,108.30000305175781,118.0,107.0999984741211,108.44999694824219,112167,2023-01-16
2023-01-23,90.02538299560547,100.5999984741211,109.5999984741211,99.5,108.30000305175781,62271,2023-01-23
2023-01-30,91.05449676513672,101.75,107.80000305175781,97.5,104.8499984741211,49409,2023-01-30
2023-02-06,91.4124526977539,102.1500015258789,106.5999984741211,100.0,103.9000015258789,35146,2023-02-06
2023-02-13,92.44157409667969,103.30000305175781,105.5,101.0,104.19999694824219,22055,2023-02-13
2023-02-20,90.56230926513672,101.19999694824219,104.25,100.0,103.0,36734,2023-02-20
2023-02-27,92.53105926513672,103.4000015258789,104.80000305175781,98.30000305175781,101.0,44011,2023-02-27
2023-03-06,91.00975799560547,101.69999694824219,106.5,100.0999984741211,103.55000305175781,45312,2023-03-06
2023-03-13,84.20863342285156,94.0999984741211,103.94999694824219,93.1500015258789,103.94999694824219,62854,2023-03-13
2023-03-20,80.58435821533203,90.05000305175781,95.9000015258789,89.55000305175781,95.9000015258789,66847,2023-03-20
2023-03-27,82.32937622070312,92.0,96.25,84.19999694824219,90.8499984741211,96135,2023-03-27
2023-04-03,85.5062255859375,95.55000305175781,97.94999694824219,90.19999694824219,97.94999694824219,32741,2023-04-03
2023-04-10,88.68305969238281,99.0999984741211,101.0,94.1500015258789,97.4000015258789,37178,2023-04-10
2023-04-17,89.21998596191406,99.69999694824219,103.0,94.5,103.0,57508,2023-04-17
2023-04-24,90.38333892822266,101.0,103.5999984741211,98.0,100.9000015258789,41009,2023-04-24
2023-05-01,89.533203125,100.05000305175781,104.0,97.05000305175781,101.0,49353,2023-05-01
2023-05-08,95.12622833251953,106.30000305175781,108.75,99.0,102.05000305175781,64341,2023-05-08
2023-05-15,94.09710693359375,105.1500015258789,108.30000305175781,102.0,104.19999694824219,64505,2023-05-15
2023-05-22,96.33432006835938,107.6500015258789,109.9000015258789,104.0,105.1500015258789,78124,2023-05-22
2023-05-29,89.13050079345703,99.5999984741211,109.8499984741211,98.19999694824219,109.8499984741211,97395,2023-05-29
2023-06-05,88.50408172607422,98.9000015258789,104.05000305175781,98.0999984741211,100.0999984741211,87864,2023-06-05
2023-06-12,87.16175842285156,97.4000015258789,100.5999984741211,96.55000305175781,98.5999984741211,90816,2023-06-12
2023-06-19,84.52184295654297,94.44999694824219,101.4000015258789,92.5,97.5999984741211,129599,2023-06-19
2023-06-26,86.66956329345703,96.8499984741211,98.0,94.55000305175781,98.0,43559,2023-06-26
2023-07-03,85.68519592285156,95.75,100.6500015258789,94.94999694824219,96.8499984741211,69667,2023-07-03
2023-07-10,84.79031372070312,94.75,96.6500015258789,93.05000305175781,95.75,47198,2023-07-10
2023-07-17,88.28036499023438,98.6500015258789,105.5,93.25,95.0,135603,2023-07-17
2023-07-24,87.65393829345703,97.94999694824219,102.0,97.4000015258789,98.5,84847,2023-07-24
2023-07-31,104.65674591064453,116.94999694824219,122.5,96.5,99.0,1002063,2023-07-31
2023-08-07,91.18873596191406,101.9000015258789,118.0,99.25,118.0,324769,2023-08-07
2023-08-14,101.4351577758789,113.3499984741211,119.44999694824219,100.0999984741211,101.0999984741211,226191,2023-08-14
2023-08-21,97.81088256835938,109.30000305175781,117.19999694824219,107.30000305175781,114.0,113063,2023-08-21
2023-08-28,116.20843505859375,117.1500015258789,119.5999984741211,105.4000015258789,111.94999694824219,313592,2023-08-28
2023-09-04,116.45642852783203,117.4000015258789,124.75,112.4000015258789,119.0,319956,2023-09-04
2023-09-11,111.24861907958984,112.1500015258789,120.0,110.25,116.0,147505,2023-09-11
2023-09-18,108.02474212646484,108.9000015258789,113.75,107.25,112.94999694824219,66664,2023-09-18
2023-09-25,102.42015075683594,103.25,109.9000015258789,100.0999984741211,109.0,199755,2023-09-25
2023-10-02,108.47112274169922,109.3499984741211,111.80000305175781,101.94999694824219,103.25,192538,2023-10-02
