Date,Adj Close_WSI.NS,Close_WSI.NS,High_WSI.NS,Low_WSI.NS,Open_WSI.NS,Volume_WSI.NS,Date
2020-07-13,1.2999999523162842,1.2999999523162842,1.399999976158142,1.2999999523162842,1.2999999523162842,19406,2020-07-13
2020-07-20,1.25,1.25,1.350000023841858,1.2000000476837158,1.25,55808,2020-07-20
2020-07-27,1.2000000476837158,1.2000000476837158,1.25,1.149999976158142,1.2000000476837158,32434,2020-07-27
2020-08-03,1.25,1.25,1.350000023841858,1.2000000476837158,1.2000000476837158,33059,2020-08-03
2020-08-10,1.5,1.5,1.5,1.2000000476837158,1.2999999523162842,47145,2020-08-10
2020-08-17,1.75,1.75,1.75,1.5499999523162842,1.5499999523162842,27638,2020-08-17
2020-08-24,2.0,2.0,2.0,1.7999999523162842,1.7999999523162842,33132,2020-08-24
2020-08-31,2.5,2.5,2.5,2.0999999046325684,2.0999999046325684,21551,2020-08-31
2020-09-07,3.0,3.0,3.0,2.5999999046325684,2.5999999046325684,19964,2020-09-07
2020-09-14,3.75,3.75,3.75,3.1500000953674316,3.1500000953674316,48940,2020-09-14
2020-09-21,4.650000095367432,4.650000095367432,4.650000095367432,3.9000000953674316,3.9000000953674316,19216,2020-09-21
2020-09-28,4.449999809265137,4.449999809265137,5.050000190734863,4.449999809265137,4.849999904632568,61160,2020-09-28
2020-10-05,4.0,4.0,4.25,4.0,4.25,76962,2020-10-05
2020-10-12,3.950000047683716,3.950000047683716,4.0,3.75,4.0,33608,2020-10-12
2020-10-19,4.099999904632568,4.099999904632568,4.199999809265137,3.6500000953674316,3.950000047683716,38385,2020-10-19
2020-10-26,3.4000000953674316,3.4000000953674316,4.199999809265137,3.4000000953674316,4.099999904632568,16402,2020-10-26
2020-11-02,3.049999952316284,3.049999952316284,3.549999952316284,3.049999952316284,3.4000000953674316,20806,2020-11-02
2020-11-09,3.299999952316284,3.299999952316284,3.549999952316284,3.049999952316284,3.0999999046325684,16334,2020-11-09
2020-11-16,3.299999952316284,3.299999952316284,3.549999952316284,3.25,3.4000000953674316,14607,2020-11-16
2020-11-23,2.950000047683716,2.950000047683716,3.4000000953674316,2.8499999046325684,3.299999952316284,11783,2020-11-23
2020-11-30,3.200000047683716,3.200000047683716,3.5,2.950000047683716,2.950000047683716,11010,2020-11-30
2020-12-07,4.199999809265137,4.199999809265137,4.199999809265137,3.0999999046325684,3.5,92496,2020-12-07
2020-12-14,4.099999904632568,4.099999904632568,4.400000095367432,4.0,4.199999809265137,73253,2020-12-14
2020-12-21,3.950000047683716,3.950000047683716,4.300000190734863,3.6500000953674316,4.25,14541,2020-12-21
2020-12-28,3.950000047683716,3.950000047683716,4.099999904632568,3.6500000953674316,4.050000190734863,37367,2020-12-28
2021-01-04,3.9000000953674316,3.9000000953674316,4.300000190734863,3.799999952316284,3.8499999046325684,65643,2021-01-04
2021-01-11,3.8499999046325684,3.8499999046325684,4.150000095367432,3.75,3.9000000953674316,41244,2021-01-11
2021-01-18,3.799999952316284,3.799999952316284,4.099999904632568,3.700000047683716,3.75,17925,2021-01-18
2021-01-25,3.6500000953674316,3.6500000953674316,3.9000000953674316,3.3499999046325684,3.799999952316284,11976,2021-01-25
2021-02-01,3.6500000953674316,3.6500000953674316,4.050000190734863,3.5999999046325684,3.5999999046325684,15688,2021-02-01
2021-02-08,3.950000047683716,3.950000047683716,4.199999809265137,3.4000000953674316,4.0,48491,2021-02-08
2021-02-15,4.099999904632568,4.099999904632568,4.650000095367432,3.6500000953674316,4.300000190734863,76899,2021-02-15
2021-02-22,3.799999952316284,3.799999952316284,4.150000095367432,3.3499999046325684,4.0,60641,2021-02-22
2021-03-01,4.699999809265137,4.699999809265137,4.900000095367432,3.8499999046325684,4.0,138581,2021-03-01
2021-03-08,4.949999809265137,4.949999809265137,5.050000190734863,4.550000190734863,4.599999904632568,87558,2021-03-08
2021-03-15,4.849999904632568,4.849999904632568,5.300000190734863,4.75,4.949999809265137,74961,2021-03-15
