Date,Adj Close_XPROINDIA.NS,Close_XPROINDIA.NS,High_XPROINDIA.NS,Low_XPROINDIA.NS,Open_XPROINDIA.NS,Volume_XPROINDIA.NS,Date
2020-07-13,16.10458755493164,16.200000762939453,17.0,15.666666030883789,16.03333282470703,10517,2020-07-13
2020-07-20,16.40281867980957,16.5,16.733333587646484,15.466666221618652,15.5,13681,2020-07-20
2020-07-27,14.745967864990234,14.833333015441895,16.466665267944336,14.800000190734863,15.733332633972168,28523,2020-07-27
2020-08-03,15.574392318725586,15.666666030883789,16.0,14.199999809265137,14.833333015441895,31199,2020-08-03
2020-08-10,15.011064529418945,15.100000381469727,16.600000381469727,15.0,15.933333396911621,17482,2020-08-10
2020-08-17,15.243023872375488,15.333333015441895,16.066665649414062,14.0,14.366665840148926,30517,2020-08-17
2020-08-24,15.640666961669922,15.733332633972168,16.466665267944336,15.199999809265137,15.666666030883789,32961,2020-08-24
2020-08-31,14.845379829406738,14.933333396911621,16.433332443237305,14.5,15.066665649414062,17801,2020-08-31
2020-09-07,15.243023872375488,15.333333015441895,15.833333015441895,13.633333206176758,14.833333015441895,13788,2020-09-07
2020-09-14,14.514009475708008,14.600000381469727,15.666666030883789,14.433333396911621,15.033332824707031,11163,2020-09-14
2020-09-21,14.381462097167969,14.466666221618652,15.233332633972168,13.933333396911621,14.600000381469727,8933,2020-09-21
2020-09-28,14.016955375671387,14.100000381469727,14.666666030883789,13.766666412353516,14.666666030883789,6456,2020-09-28
2020-10-05,13.751858711242676,13.833333015441895,15.333333015441895,13.466666221618652,14.133333206176758,8636,2020-10-05
2020-10-12,13.586173057556152,13.666666030883789,14.466666221618652,13.033332824707031,13.033332824707031,6248,2020-10-12
2020-10-19,13.619309425354004,13.699999809265137,14.966666221618652,12.5,13.366665840148926,18027,2020-10-19
2020-10-26,14.679695129394531,14.766666412353516,15.399999618530273,13.333333015441895,13.699999809265137,7534,2020-10-26
2020-11-02,14.282049179077148,14.366665840148926,15.300000190734863,13.933333396911621,14.533332824707031,10108,2020-11-02
2020-11-09,21.93669891357422,22.066665649414062,22.066665649414062,14.199999809265137,14.300000190734863,156520,2020-11-09
2020-11-16,26.60901641845703,26.766666412353516,26.766666412353516,21.03333282470703,21.03333282470703,346084,2020-11-16
2020-11-23,24.85275650024414,25.0,28.0,23.366666793823242,26.766666412353516,73956,2020-11-23
2020-11-30,25.084714889526367,25.233333587646484,26.0,24.066665649414062,25.0,60497,2020-11-30
2020-12-07,23.295316696166992,23.433332443237305,25.933332443237305,23.100000381469727,25.933332443237305,42650,2020-12-07
2020-12-14,23.79237174987793,23.933332443237305,24.66666603088379,23.0,23.16666603088379,33764,2020-12-14
2020-12-21,22.963947296142578,23.100000381469727,24.100000381469727,21.66666603088379,23.333332061767578,14958,2020-12-21
2020-12-28,22.367481231689453,22.5,23.633333206176758,21.799999237060547,23.100000381469727,22314,2020-12-28
2021-01-04,26.675291061401367,26.833332061767578,27.799999237060547,21.53333282470703,22.53333282470703,61202,2021-01-04
2021-01-11,25.614906311035156,25.766666412353516,27.299999237060547,24.0,27.299999237060547,31788,2021-01-11
2021-01-18,25.4492244720459,25.600000381469727,27.066665649414062,24.5,24.5,91790,2021-01-18
2021-01-25,28.53096580505371,28.700000762939453,30.299999237060547,25.0,25.0,95816,2021-01-25
2021-02-01,29.425662994384766,29.600000381469727,30.566665649414062,27.399999618530273,28.0,112950,2021-02-01
2021-02-08,34.95954132080078,35.166664123535156,35.53333282470703,29.16666603088379,31.0,353381,2021-02-08
2021-02-15,34.29680633544922,34.5,38.733333587646484,32.93333435058594,36.900001525878906,260219,2021-02-15
2021-02-22,36.71580505371094,36.93333435058594,39.900001525878906,34.266666412353516,34.266666412353516,178778,2021-02-22
2021-03-01,37.67677688598633,37.900001525878906,41.266666412353516,36.233333587646484,38.733333587646484,288395,2021-03-01
2021-03-08,35.92051315307617,36.133331298828125,38.96666717529297,34.266666412353516,37.20000076293945,104861,2021-03-08
2021-03-15,34.76072311401367,34.96666717529297,39.70000076293945,33.5,37.233333587646484,267218,2021-03-15
2021-03-22,43.939674377441406,44.20000076293945,44.20000076293945,33.233333587646484,34.733333587646484,106320,2021-03-22
2021-03-29,50.83216857910156,51.133331298828125,51.133331298828125,44.20000076293945,44.20000076293945,30995,2021-03-29
2021-04-05,55.60390090942383,55.93333435058594,55.93333435058594,46.20000076293945,50.666664123535156,376856,2021-04-05
2021-04-12,67.3675308227539,67.76666259765625,67.76666259765625,54.733333587646484,58.70000076293945,310942,2021-04-12
2021-04-19,81.81527709960938,82.30000305175781,82.30000305175781,71.13333129882812,71.13333129882812,158168,2021-04-19
2021-04-26,85.46034240722656,85.96666717529297,99.93333435058594,78.19999694824219,86.4000015258789,540612,2021-04-26
2021-05-03,80.8211669921875,81.30000305175781,81.69999694824219,70.0999984741211,81.69999694824219,199892,2021-05-03
2021-05-10,74.92276763916016,75.36666870117188,85.33333587646484,74.06666564941406,85.19999694824219,179843,2021-05-10
2021-05-17,83.04134368896484,83.53333282470703,84.66666412353516,75.33333587646484,76.5999984741211,146980,2021-05-17
2021-05-24,103.7519760131836,104.36666870117188,104.36666870117188,82.0999984741211,87.69999694824219,381717,2021-05-24
2021-05-31,94.63928985595703,95.19999694824219,104.53333282470703,93.33333587646484,104.33333587646484,297967,2021-05-31
2021-06-07,94.83811950683594,95.4000015258789,98.19999694824219,83.33333587646484,97.13333129882812,331569,2021-06-07
2021-06-14,109.65036010742188,110.30000305175781,121.66666412353516,96.0,100.16666412353516,447866,2021-06-14
2021-06-21,116.70854187011719,117.4000015258789,127.63333129882812,106.66666412353516,106.66666412353516,168399,2021-06-21
2021-06-28,112.53327941894531,113.19999694824219,117.93333435058594,106.66666412353516,116.66666412353516,102428,2021-06-28
2021-07-05,131.7196044921875,132.5,132.5,110.66666412353516,116.66666412353516,143827,2021-07-05
2021-07-12,168.03778076171875,169.03334045410156,169.03334045410156,132.5,132.5,215616,2021-07-12
2021-07-19,204.1902313232422,205.39999389648438,205.39999389648438,177.46665954589844,177.46665954589844,72470,2021-07-19
2021-07-26,212.2756805419922,213.53334045410156,214.60000610351562,176.13333129882812,199.96665954589844,903750,2021-07-26
2021-08-02,175.59300231933594,176.63333129882812,222.0,168.73333740234375,220.0,411556,2021-08-02
2021-08-09,179.503173828125,180.56666564941406,194.36666870117188,159.60000610351562,178.6666717529297,599481,2021-08-09
2021-08-16,181.82275390625,182.89999389648438,185.26666259765625,166.0,176.6666717529297,367288,2021-08-16
2021-08-23,231.9921875,233.36666870117188,233.36666870117188,183.8333282470703,184.0,574028,2021-08-23
2021-08-30,262.2462463378906,263.79998779296875,291.5333251953125,235.36666870117188,245.03334045410156,886353,2021-08-30
2021-09-06,259.66162109375,261.20001220703125,280.0,250.63333129882812,250.63333129882812,590274,2021-09-06
2021-09-13,300.75146484375,302.5333251953125,302.5333251953125,250.6666717529297,265.1333312988281,353625,2021-09-13
2021-09-20,333.22576904296875,335.20001220703125,357.5666809082031,310.3999938964844,313.3333435058594,888164,2021-09-20
2021-09-27,384.42242431640625,386.70001220703125,386.70001220703125,312.0,341.29998779296875,898870,2021-09-27
2021-10-04,464.3157653808594,467.0666809082031,475.9333190917969,387.3333435058594,398.6666564941406,1029486,2021-10-04
2021-10-11,422.264892578125,424.76666259765625,486.6666564941406,413.3333435058594,481.1666564941406,608388,2021-10-11
2021-10-18,387.007080078125,389.29998779296875,466.0,384.0666809082031,435.3333435058594,480158,2021-10-18
2021-10-25,376.9665832519531,379.20001220703125,401.9666748046875,343.4666748046875,401.9666748046875,388011,2021-10-25
